" 2,193 "," 17,540 "," 21,897 "," 9,112 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 10,466 ", 25 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 69,222 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 107 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,476 ", 4 , -   , -   , -   , -   , -   , -   , -   , -   , 82 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 721 , 16 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 660 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 98 , 7 , 23 , 54 , -   , -   , -   , -   , -   , 300 ," 2,378 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 630 , 14 ," 6,742 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 73,740 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,082 "
 -   , -   , -   , -   , 1 , 3 , 5 , 136 , -   , 306 , 352 , 3 , -   , -   , -   , -   , -   , -   ," 9,233 ", 88 , 3 , -   , -   , -   , -   , -   , -   , -   ," 7,435 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,105 ", 9 , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,128 "
" 2,382 "," 1,135 "," 38,225 "," 5,296 ", 98 , 678 ," 1,214 ", 39 ," 1,760 ", 918 , 417 , 4 , 7 , 4 , 14 , 107 ," 2,836 "," 30,366 "," 65,951 ", 99 , 36 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,130 ", 2 ," 1,606 ", -   , -   , -   , -   , -   , 295 , -   , -   , -   , 11 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 735 
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 288,439 "," 5,805 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 319,541 ", -   ," 12,156 "," 13,541 ", -   , -   , -   , -   , -   , -   , -   , -   ," 221,323 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 181 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 334,186 ", -   ," 41,192 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,828,278 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 7,313 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 88,079 "," 234,287 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,548 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 642 , -   , -   , -   , -   ," 2,126 "," 1,658 ", 8 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,767 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 10,401 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 137 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , 40 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 10,125,780 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,697,211 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 437,083 ", 13 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 760 , 17 , 84 , -   , -   , 475 , 10 , -   , -   , -   , -   , -   ," 10,951 "," 1,033 ", 56 , 3 , -   , 11 , 4 , 31 , 3 , 18 , 6 , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,045 "," 13,817 ", 27 , 931 , -   , -   , -   , 691 ," 6,954 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,353 ", 31 , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , 84 , -   , 1 , 3 , 149 , 2 , 1 , 5 , 1 , -   , 1 , 5 , -   , 19 , -   , 1 , -   , -   , -   , -   , -   , 10 , -   , -   , -   , -   , -   , -   , 422 , 70 , -   , 23 , 154 , -   , -   , -   , -   , -   , 5 , 20 , 59 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 26 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,210 ", 696 , -   , 505 ," 3,410 ", 6 , 216 , -   , -   , 1 , 40 , 148 , 253 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 36,326 ", 114 , 2 , 14 ," 5,706 ", 8 , 3 , 23 , 2 , 22 ," 1,376 ", -   , -   , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 146 , 758 ," 5,119 ", 3 , 118 , -   , -   , -   , 187 , 441 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 , 676 , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,284 "
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 21 
