ID,Sektor,Total_Cons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
49,Listrik dan Gas,3640.328668,0,0,0,0,634.5576906,1379.791751,0,1601.980117,0,0,0,0,0,0,0.13954455,1.283089767,0,0,22.57647436,0,0,0,0,0,0,0
50,Air Minum,166.9167426,0,0,0,0,29.09580765,63.26636013,0,73.45416507,0,0,0,0,0,0,0.006398412,0.05883237,0,0,1.035178937,0,0,0,0,0,0,0
51,Bangunan Tempat Tinggal dan Bangunan Bukan Tempat Tinggal,3070.311881,0,0,0,0,535.1961855,1163.738605,0,1351.135855,0,0,0,0,0,0,0.117694123,1.082178593,0,0,19.04136242,0,0,0,0,0,0,0
52,Bangunan lainnya,5310.497603,0,0,0,0,925.6903435,2012.834954,0,2336.962497,0,0,0,0,0,0,0.203567058,1.871766467,0,0,32.93447486,0,0,0,0,0,0,0
53,Perdagangan,1871.289732,0,0,0,0,326.1906819,709.2739066,0,823.4885412,0,0,0,0,0,0,0.071732062,0.659564815,0,0,11.60530505,0,0,0,0,0,0,0
54,Restoran ,143.6569041,0,0,0,0,25.04130852,54.45019648,0,63.21833138,0,0,0,0,0,0,0.005506793,0.050634083,0,0,0.890926811,0,0,0,0,0,0,0
55,Perhotelan,9.598065988,0,0,0,0,1.673070523,3.637949615,0,4.223769962,0,0,0,0,0,0,0.000367922,0.003382986,0,0,0.05952498,0,0,0,0,0,0,0
56,Angkutan Kereta Api,463.215705,0,0,0,0,80.74465655,175.5723911,0,203.844877,0,0,0,0,0,0,0.017756426,0.163267492,0,0,2.872756403,0,0,0,0,0,0,0
57,Angkutan Jalan Raya,45016.89815,0,0,0,0,7847.043917,17062.72988,0,19810.34746,0,0,0,0,0,0,1.725630668,15.86689736,0,0,279.1843649,0,0,0,0,0,0,0
58,"Angkutan Laut, Danau dan Sungai",8969.929595,0,0,0,0,1563.577997,3399.867427,0,3947.349313,0,0,0,0,0,0,0.343843895,3.161589494,0,0,55.62942362,0,0,0,0,0,0,0
59,Angkutan Udara,11140.63025,0,0,0,0,1941.959985,4222.62689,0,4902.598031,0,0,0,0,0,0,0.427053262,3.92668629,0,0,69.0916058,0,0,0,0,0,0,0
60,Jasa Penunjang Angkutan,15346.64426,0,0,0,0,2675.124151,5816.83004,0,6753.516292,0,0,0,0,0,0,0.588282202,5.409160545,0,0,95.17632947,0,0,0,0,0,0,0
61,Komunikasi,94.57121695,0,0,0,0,16.48502059,35.84527578,0,41.61745355,0,0,0,0,0,0,0.003625194,0.033333078,0,0,0.586508761,0,0,0,0,0,0,0
62,Bank dan Lembaga Keuangan Lainnya,90.16764182,0,0,0,0,15.71741889,34.17619115,0,39.67959561,0,0,0,0,0,0,0.003456392,0.031780971,0,0,0.559198809,0,0,0,0,0,0,0
63,Usaha Persewaan Bangunan dan Tanah,158.8837098,0,0,0,0,27.69554322,60.22160418,0,69.91911095,0,0,0,0,0,0,0.006090482,0.056001005,0,0,0.98535993,0,0,0,0,0,0,0
64,Jasa Perusahaan,100.0218762,0,0,0,0,17.43514296,37.91123612,0,44.01609623,0,0,0,0,0,0,0.003834134,0.035254247,0,0,0.620312485,0,0,0,0,0,0,0
65,Pemerintah dan Pertahanan,398.0727714,0,0,0,0,69.38937704,150.8813012,0,175.1777719,0,0,0,0,0,0,0.015259305,0.140306864,0,0,2.468755033,0,0,0,0,0,0,0
66,Jasa Pendidikan dan Kemasyarakatan,38.93314867,0,0,0,0,6.78656549,14.75680969,0,17.13310412,0,0,0,0,0,0,0.001492423,0.013722586,0,0,0.241454361,0,0,0,0,0,0,0
67,"Jasa Hiburan, Rekreasi dan Kebudayaan ",46.85359021,0,0,0,0,8.167203766,17.75889025,0,20.61861079,0,0,0,0,0,0,0.001796036,0.016514268,0,0,0.290575103,0,0,0,0,0,0,0
68,Jasa Perbengkelan,119.6626849,0,0,0,0,20.85879707,45.35568091,0,52.65932267,0,0,0,0,0,0,0.004587024,0.042176952,0,0,0.742120227,0,0,0,0,0,0,0
69,Jasa Kesehatan,84.96632667,0,0,0,0,14.8107605,32.20473956,0,37.39068046,0,0,0,0,0,0,0.00325701,0.029947687,0,0,0.526941458,0,0,0,0,0,0,0
70,Jasa Perorangan dan Rumahtangga,47.10403375,0,0,0,0,8.210859404,17.85381572,0,20.72882215,0,0,0,0,0,0,0.001805637,0.01660254,0,0,0.292128296,0,0,0,0,0,0,0
71,Barang dan Jasa Tidak Termasuk Dimanapun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
