"","y2015","y2016","y2017","y2018","y2019","y2020","y2021","y2022","y2023","y2024","y2025","y2026","y2027","y2028","y2029","y2030"
"Pengolahan Tembakau",3112.44000699904,3268.06200699904,3431.46510769894,3603.03836448369,3783.19028305783,3972.34979931043,4170.96728717624,4379.5156504852,4598.49143580907,4828.41600829943,5069.83680451498,5323.32864824025,5589.49508030231,5868.96983536728,6162.41832573584,6470.53924412234
"Industri Tekstil dan Pakaian Jadi",9337.3200018361,9804.1860018361,10294.3953021115,10809.115067162,11349.570820667,11917.0493615902,12512.9018297431,13138.5469211752,13795.4742673441,14485.2479806379,15209.5103794678,15969.9858984412,16768.4851935285,17606.9094532417,18487.2549257385,19411.6176721356
"Industri Kulit Barang dari Kulit dan Alas Kaki",9337.32001441681,9804.18601201401,10294.3953123744,10809.1150815974,11349.5708354369,11917.0493755268,12512.9018457449,13138.5469375515,13795.4742827472,14485.2479952025,15209.510395203,15969.9859164048,16768.4852098222,17606.9094736773,18487.2549466403,19411.6176942126
"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",3112.43999572406,3268.06199572406,3431.46509390678,3603.03834956421,3783.19026682862,3972.34978027695,4170.96726832871,4379.51563292103,4598.4914133912,4828.41598374006,5069.83678410295,5323.32862277361,5589.49505519507,5868.96980784793,6162.41829834722,6470.53921326458
"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",9337.32000200629,9804.18600200629,10294.3953031097,10809.1150671618,11349.5708207205,11917.0493621578,12512.9018292625,13138.5469213275,13795.4742676949,14485.247980879,15209.5103802239,15969.9858981316,16768.4851929379,17606.9094543904,18487.2549258058,19411.617672999
"Industri Kimia Farmasi dan Obat Tradisional",15562.1999880197,16340.3099873541,17157.325486855,18015.1917608649,18915.9513495737,19861.7489163868,20854.8363622062,21897.5781806493,22992.4570901477,24142.0799442557,25349.1839414685,26616.6431385419,27947.4752952693,29344.8490600328,30812.0915134338,32352.6960886396
"Industri Karet Barang dari Karet dan Plastik",9337.31999615158,9804.18599615157,10294.395295446,10809.1150600259,11349.5708128348,11917.0493534124,12512.9018212113,13138.5469128491,13795.4742584274,14485.2479710281,15209.5103693871,15969.9858878564,16768.4851826341,17606.9094419582,18487.2549143768,19411.617660224
"Industri Barang Galian bukan Logam",21787.079976,22876.433972,24020.2556702001,25221.2684513101,26482.3318718756,27806.4484722693,29196.7708966828,30656.6094371169,32189.4399053728,33798.9119050414,35488.8575034935,37263.3003758682,39126.4653970616,41082.7886657147,43136.9280962004,45293.7744986104
"Industri Logam Dasar",9337.32000160778,9804.18600080389,10294.3953011656,10809.1150664651,11349.5708195472,11917.0493604441,12512.9018291899,13138.5469197651,13795.4742660749,14485.2479790571,15209.5103783315,15969.9858974892,16768.4851919617,17606.9094510775,18487.2549239529,19411.6176704721
"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",3112.43999949918,3268.06199949918,3431.46509949561,3603.038354406,3783.19027216565,3972.34978574173,4170.96727508606,4379.51563881174,4598.49142074517,4828.41599178243,5069.83679134293,5323.32863092439,5589.49506247776,5868.96981560881,6162.4183063964,6470.53922169118
