,iotables_row,agriculture_group,industry_group,construction,trade_group,business_services_group,other_services_group,total,fi0l_consumption_households,fi0l_consumption_government,inventory_change,gross_capital_formation,exports,total_fi0l_use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domestic,"Wholesale trade, except of motor vehicles and motorcycles",G46,532,76,114,160,"2,061","1,112",284,318,11,254,298,248,364,132,266,222,512,249,321,280,62,383,0,213,27,0,"1,120",689,196,142,140,257,139,80,11,744,21,223,60,22,63,100,0,79,67,0,0,0,0,76,124,286,161,141,0,0,"6,231",0,50,"2,259",418,0,"22,399"
Domestic,"Retail trade, except of motor vehicles and motorcycles",G47,308,55,72,104,"1,153",629,168,191,7,161,180,165,214,88,174,140,295,153,196,168,43,228,0,142,21,0,632,410,122,92,89,159,91,57,8,426,16,171,45,17,45,77,0,59,48,0,0,0,0,54,82,174,102,97,0,0,"3,464",0,39,"1,286",231,0,"13,149"
Domestic,Land transport and transport via pipelines,H49,108,14,11,132,346,225,113,122,2,27,73,29,111,53,83,88,197,61,57,67,5,89,0,25,1,0,223,121,308,179,123,26,10,7,0,95,1,1,9,0,35,38,0,18,19,0,0,0,0,22,125,65,16,18,0,0,"2,625",0,0,331,66,215,"6,733"
Domestic,Water transport,H50,79,11,13,44,347,197,81,50,1,26,47,27,69,38,36,42,111,39,39,40,5,71,0,15,0,0,173,133,161,93,94,95,11,7,0,103,2,1,28,1,2,4,0,1,9,0,0,0,0,10,92,44,16,8,0,0,"1,582",0,0,355,71,139,"4,668"
Domestic,Air transport,H51,4,3,0,19,15,8,2,2,0,1,4,1,3,1,3,3,5,3,2,2,0,2,0,1,0,0,16,3,42,25,1,2,90,3,0,4,0,1,8,0,13,5,0,7,11,0,0,0,0,12,64,7,1,2,0,0,"2,286",0,0,40,8,598,"3,334"
Domestic,Warehousing and support activities for transportation,H52,22,2,4,6,108,75,46,17,0,7,16,7,30,17,30,21,45,25,12,11,2,15,0,4,0,0,42,24,34,20,167,355,321,68,0,29,0,0,4,0,1,0,0,3,3,0,0,0,0,3,39,12,4,3,0,0,466,0,0,108,21,442,"2,693"
Domestic,Postal and courier activities,H53,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,2,0,13,8,1,1,1,3,1,1,0,0,0,0,3,1,0,1,1,0,0,0,0,1,1,3,0,1,0,0,43,0,0,0,0,3,97
Domestic,Accommodation and food service activities,I,5,10,4,17,30,20,28,12,0,5,8,1,16,10,16,14,12,4,0,16,1,4,0,1,0,0,91,60,216,126,37,4,89,9,0,3,0,13,4,0,10,9,0,4,18,0,0,0,0,21,294,15,1,11,0,0,"9,618",0,0,0,0,"1,931","12,823"
Domestic,Publishing activities,J58,0,0,0,1,1,2,0,2,0,0,1,1,2,2,1,2,3,3,0,1,0,1,0,1,0,0,6,1,37,22,2,4,3,7,0,3,4,0,0,0,7,2,0,3,3,0,0,0,0,3,4,7,0,1,0,0,115,0,0,0,0,11,269
Domestic,"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",J59_J60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,3,0,0,0,0,0,33,0,0,0,0,37,0,50,0,41,0,0,561,0,0,192,0,0,"1,031"
Domestic,Telecommunications,J61,4,1,1,13,13,19,4,21,0,2,12,5,18,17,5,15,29,24,1,5,1,5,0,6,0,0,58,5,351,204,17,38,26,67,0,25,0,2,115,0,66,23,0,29,27,0,0,0,0,31,38,68,2,14,0,0,"1,103",0,0,0,0,64,"2,590"
Domestic,"Computer programming, consultancy and related activities; information service activities",J62_J63,0,0,0,1,1,2,0,2,0,0,1,1,2,2,1,2,3,2,0,1,0,1,0,1,0,0,6,1,36,21,2,4,3,7,0,3,0,0,0,5,7,2,0,3,3,0,0,0,0,3,4,7,0,1,0,0,115,0,0,0,0,8,264
Domestic,"Financial service activities, except insurance and pension funding",K64,110,21,32,23,169,250,131,115,0,6,79,11,55,50,151,81,202,102,12,53,3,49,0,26,1,0,474,93,678,394,176,38,88,4,1,9,3,8,55,3,630,101,0,104,232,0,0,0,0,264,113,114,4,10,0,0,"2,317",0,0,0,0,"1,308","8,955"
Domestic,"Insurance, reinsurance and pension funding, except compulsory social security",K65,2,0,0,48,13,49,4,16,0,8,10,3,7,5,2,5,42,5,1,3,1,5,0,7,0,0,102,3,250,145,74,100,126,8,0,8,1,1,18,1,119,66,0,4,26,0,0,0,0,30,27,32,1,15,0,0,"1,274",0,0,0,0,2,"2,671"
Domestic,Activities auxiliary to financial services and insurance activities,K66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domestic,Real estate activities,L68,1,0,0,18,6,12,2,10,0,1,4,3,11,20,10,21,18,4,2,0,1,1,0,1,0,0,42,285,"1,340",778,17,5,11,9,0,10,0,3,4,0,13,2,0,26,9,0,0,0,0,10,5,25,2,63,0,0,"2,584",0,0,0,0,61,"5,449"
Domestic,Legal and accounting activities; activities of head offices; management consultancy activities,M69_M70,10,12,1,69,22,40,9,8,0,5,18,3,14,9,13,50,93,66,2,37,1,9,0,50,1,0,360,108,285,165,57,29,109,31,0,23,2,10,29,2,116,61,0,41,41,0,0,0,0,0,38,73,2,53,0,0,168,0,0,0,0,66,"2,412"
Domestic,Architectural and engineering activities; technical testing and analysis,M71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domestic,Scientific research and development,M72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domestic,Advertising and market research,M73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domestic,"Other professional, scientific and technical activities; veterinary activities",M74_M75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domestic,Administrative and support service activities,N,12,14,1,79,25,45,10,9,0,6,20,3,16,10,15,56,106,75,2,42,1,10,0,57,1,0,408,122,323,188,65,33,124,35,0,26,2,12,33,2,132,70,0,47,0,0,0,0,0,52,43,83,2,60,0,0,214,0,0,0,0,66,"2,757"
Domestic,Public administration and defence; compulsory social security,O84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,22,2,5,0,0,8,0,9,2,0,30,2,0,43,38,0,0,0,0,43,0,10,1,1,0,0,"1,496",0,"7,971",0,0,108,"9,798"
Domestic,Education,P85,0,0,0,0,1,1,0,3,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,6,0,10,6,3,2,6,2,0,5,0,0,5,0,16,12,0,0,14,0,0,0,0,16,4,139,7,37,0,0,"4,116",0,"2,935",0,0,53,"7,408"
Domestic,Human health and social work activities,Q,1,0,0,5,6,7,0,14,0,0,7,1,2,2,1,1,2,0,0,3,1,1,0,5,0,0,40,19,15,9,4,1,2,7,0,1,0,0,4,0,0,4,0,3,12,0,0,0,0,13,7,6,4,10,0,0,"1,390",0,822,0,0,26,"2,457"
Domestic,Other service activities,R_S,7,3,0,8,35,2,2,12,0,0,1,0,41,2,270,9,3,2,0,0,0,8,0,0,0,0,47,1,66,38,30,0,0,15,0,3,0,0,0,0,2,2,0,0,52,0,0,0,0,59,5,4,7,9,0,0,"2,984",0,0,0,0,514,"4,244"
Domestic,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domestic,Activities of extraterritorial organizations and bodies,U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOT,Total intermediate consumption,II_fob,"6,073",592,795,"3,429","23,690","9,388","2,970","5,003",106,"7,238","4,761","1,846","4,173","1,801","5,864","4,206","4,090","2,654","2,150","3,207",342,"2,372",0,"4,221",83,0,"16,878","6,795","7,658","4,496","3,694","3,261","2,703","1,188",24,"7,473",68,724,649,66,"2,037",782,0,953,"1,203",0,0,0,0,"1,376","3,505","3,048","1,331","1,364",0,0,"101,771",0,"11,930","40,543","5,605",0,0
TOT,taxes less subsidies on products,TXSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOT,Cif/ fob adjustments on exports,EXP_adj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOT,Direct purchases abroad by residents,PURR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOT,Purchases on the domestic territory by non-residents ,PURNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOT,Value added at basic prices,VA,"20,812","2,354","2,620","20,023","12,325","5,077","1,710","2,370",101,"7,083","2,417",916,"1,946","1,355","2,219","2,175","1,781","1,371",968,"2,669",161,"1,108",0,"1,388",183,0,"8,692","5,730","14,705","8,632","2,992","1,323",584,"1,495",73,"5,289",202,306,"1,940",198,"6,915","1,888",0,"4,494","1,202",0,0,0,0,"1,374","6,269","4,322","1,102","2,872",0,0,0,0,0,0,0,0,0
TOT,International Transport Margins,IntTTM,87,5,13,49,205,217,25,108,2,104,136,49,131,33,104,88,53,61,93,89,10,24,0,61,1,0,274,153,35,21,46,84,47,9,0,62,0,2,1,0,2,1,0,2,7,0,0,0,0,8,24,38,24,9,0,0,399,0,0,446,9,0,0
TOT,Output at basic prices,GO,"26,972","2,951","3,429","23,501","36,219","14,681","4,705","7,481",210,"14,425","7,314","2,811","6,249","3,188","8,188","6,470","5,924","4,086","3,211","5,965",513,"3,504",0,"5,671",267,0,"25,844","12,678","22,399","13,149","6,733","4,668","3,334","2,693",97,"12,823",269,"1,031","2,590",264,"8,955","2,671",0,"5,449","2,412",0,0,0,0,"2,757","9,798","7,408","2,457","4,244",0,0,0,0,0,0,0,0,0
