 -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 2,385.17 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , 18.04 , -    , -    , -    , -    , 44.97 , -    , -    ," 823,626.56 ", 20.34 , -    , 434.24 , 29.80 ," 46,162.85 ", -    , 277.94 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , 98.77 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , 17.05 , -    , -    , -    , -    , -    , 380.68 , 995.97 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    
 -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 19,553.16 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 69,214.87 ", -    , -    , -    , -    , -    , 146.70 , -    ," 578,005.49 ", -    , -    , -    , -    , -    , -    , -    , -    , 286.94 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    
 -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , 203.14 , -    , -    , -    , -    , -    , -    , -    , -    , 124.93 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , 19.97 , 5.63 , -    ," 276,020.12 ", 14.41 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , 8.22 , 56.96 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    
 -    , -    , -    , -    , -    , -    , 0.40 , 1.72 , -    , -    , -    , -    , -    , 0.07 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , 35.49 ," 5,423.83 ", -    , 3.85 , 31.86 , -    , 1.22 , 0.25 , 10.90 , 166.83 , 0.07 , -    , -    , -    , -    , -    , -    , -    , -    , 0.56 , -    , -    , 35.70 , 0.85 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , 5.68 , -    , -    , -    , -    , 1.19 , 5.30 , 2.87 , -    , -    , 0.13 , -    , -    , -    , -    , -    , -    , 2.37 , -    , 0.22 , 0.02 , -    , -    
 -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 9,777.54 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 1,490,592.51 "," 146,725.54 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    
 -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 35,949.68 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 290,291.89 ", 997.62 , -    , -    , -    , 184.26 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , 27.50 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    
 -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 7,993.68 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , 1.26 , -    , -    , -    , 42.32 , 1.76 , 6.37 , 0.02 , 0.03 , -    , 210.62 ," 922,581.18 ", 622.56 , -    , -    , -    , -    , -    , -    , -    , -    , -    , 884.42 , 9.54 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , 25.12 , 83.29 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    
 -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 3,826.95 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , 5.14 , -    , -    , -    , -    , 29.35 , 8.23 , -    , -    , -    , -    , -    ," 412,098.24 "," 181,010.67 "," 16,460.36 ", -    , -    , -    ," 139,577.03 ", -    , -    , 19.71 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 44,701.69 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , 36.11 , -    , -    , -    , -    , -    , -    , 270.22 , -    , 66.12 , -    , -    , -    
 -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , 175.25 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , 16.18 ," 54,771.74 ", -    , -    , -    ," 6,233.49 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , 2.39 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    
 -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 91,385.50 ", 2.28 , 808.66 , -    , -    , -    , -    , -    , 21.67 , -    , -    , -    ," 20,616.83 "," 4,282.87 ", -    ," 53,724.09 "," 1,616.61 "," 7,956.51 "," 641,801.73 "," 46,942.06 "," 1,387.88 "," 233,580.69 "," 104,819.67 ", 151.46 , 1.75 ," 7,289.13 ", -    , 7.87 , -    , 5.02 ," 1,307.55 "," 8,281.77 ", -    , 4.54 ," 854,178.10 "," 1,866.78 ", -    , 41.19 , -    , 31.90 , -    , 2.26 , -    , 3.08 , 3.49 , -    ," 4,047.41 ", -    , -    , -    , -    , -    ," 5,491.81 "," 6,550.31 ", -    , -    , -    , -    , -    , -    , -    , -    , -    ," 4,059.38 ", 961.27 ," 1,341.42 ", -    , -    , -    
 752.85 , -    , -    , 179.03 , -    , -    , -    , -    , 996.89 , -    , -    , 116.03 , -    , 2.11 , -    , -    , -    , -    , -    , -    ," 20,284.76 ", 741.78 , -    , -    , -    , -    , -    , 7.24 , -    , -    , -    , 1.44 , 1.19 , -    , 23.49 , -    , 10.07 , 465.83 , -    , 622.71 ," 3,027.39 ", 190.96 , 145.10 , 6.74 , 0.33 , -    , 0.03 , -    , -    , -    ," 1,082.11 ", -    , -    ," 71,838.00 ", 180.17 , 0.96 , -    , -    , 0.09 , -    , -    , -    , -    , -    , -    , 987.58 , -    , -    , -    , -    , 74.95 , 17.31 ," 4,250.48 ", -    , 160.56 , -    , -    , -    , -    , -    , 0.01 , -    ," 5,935.51 "," 9,888.78 "," 1,714.27 "," 1,751.38 "," 4,377.41 ", -    
" 411,643.97 "," 85,185.97 "," 26,440.20 "," 9,157.98 "," 30,726.24 "," 41,202.76 "," 33,808.86 "," 71,962.99 "," 4,849.85 "," 7,292.94 "," 2,798.43 ", 248.27 , 1.22 , 1.17 ," 13,919.78 ", 233.95 , 757.43 ," 2,354.66 ", 14.24 ," 4,721.11 "," 12,559.19 "," 2,699.08 ", -    , -    , -    , -    , -    ," 5,794.58 ", -    , -    , -    ," 155,370.23 ", -    , -    , -    ," 1,103.47 ", -    , 23.48 , -    , 0.06 , -    ," 5,012.03 ", -    , -    , 489.39 , 51.06 , 18.83 , 859.50 , -    , -    , 0.20 , -    , -    ," 3,104.35 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , 468.14 , -    , -    , -    , -    , -    , 915.03 ," 24,723.41 ", -    ," 1,298.66 ", 298.76 , -    , -    , -    , -    , -    , -    ," 6,670.08 ", -    ," 1,207.84 ", 245.94 , -    , -    
 -    ," 3,735.73 "," 2,419.69 ", 94.88 ," 11,264.54 "," 58,507.84 "," 7,563.54 "," 86,915.20 ", 166.40 , 227.86 , -    , -    , -    , -    ," 30,077.76 ", -    ," 1,611.94 ", -    , -    , -    , 40.20 ," 1,788.33 "," 174,534.58 ", -    , -    , 23.90 ," 1,512.14 ", -    , -    , -    , -    ," 61,908.68 ", -    , -    , -    ," 103,565.89 ", -    ," 11,831.04 "," 2,995.11 ", 121.58 , -    ," 1,584.05 ", -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 17,612.96 ", 2.07 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , 8.13 , -    , -    , -    , -    , -    ," 155,953.64 "," 1,911,618.16 ", -    , -    , 498.31 , -    , -    , -    , -    , -    , 4.56 ," 72,388.50 ", -    ," 22,970.72 ", -    , -    , -    
 841.03 , 315.10 , 73.09 , 41.77 , 27.94 , -    , 41.04 , 33.85 , 51.77 , 189.98 , 956.27 , 131.66 , 26.85 , 2.90 , 551.12 , 138.62 , 416.60 , -    , 11.06 , 641.32 ," 4,454.94 ", 468.75 , -    ," 19,705.51 ", 18.44 , 43.68 , 87.59 , -    , 39.48 , -    ," 2,479.43 "," 5,656.30 "," 22,396.25 ", -    , -    , -    , -    ," 17,460.49 "," 1,190.06 ", 0.26 ," 4,475.40 ", -    , -    , 44.72 , 0.38 , -    , 0.04 , 0.57 ," 8,323.22 "," 1,075,259.49 "," 287,303.57 "," 3,759.89 ", 0.14 , 350.76 , 437.46 , -    , 8.51 , -    ," 3,784.99 ", -    , 126.82 , -    , 52.70 , 3.01 , 393.03 ," 1,151.08 ", -    , -    ," 223,772.81 "," 1,152,836.69 "," 1,107.17 ", 115.96 ," 7,991.86 ", 320.65 , -    , -    , -    , 0.01 , -    , -    , -    , 78.47 , 651.75 , 283.78 , 14.42 , 0.61 ," 1,030.66 ", -    
 -    , -    , -    , -    , 6.88 , -    , -    , -    , -    , 74.88 , -    , 24.96 , -    , -    , -    , -    , -    , -    , -    , -    , 0.01 , 2.13 , -    ," 2,561.72 ", 22.65 , 772.36 , 522.35 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 1,285.43 ", 362.36 , 1.21 , -    , -    , -    , -    , 0.26 , -    , 0.27 , -    ," 28,777.30 "," 11,557.89 "," 682,003.44 ", 102.01 , -    ," 27,672.46 ", 625.25 , -    , 0.01 , -    , -    , -    , -    , -    , 19.69 , -    , -    ," 1,083.95 ", 0.94 , -    , 627.25 , -    , -    , 428.36 ," 1,609.81 ", -    , -    , -    , -    , -    , -    , -    , -    , 1.90 , -    , -    , -    , 3.69 ," 9,200.20 ", -    
 -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , 417.42 , -    , -    , -    , -    , -    , -    , -    ," 3,062.68 ", -    , -    , -    , -    , -    ," 859,246.85 ", 68.36 , -    , 391.44 , 430.18 , 0.45 ," 4,176.82 "," 1,177.37 ", 151.68 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , 977.49 , 0.01 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 1,235.69 ", -    , -    , -    , -    , -    ," 11,128.02 "," 67,708.12 ", -    , -    , 157.68 , -    , -    , -    , -    , -    , 0.37 ," 7,870.70 ", -    ," 1,356.07 ", -    , -    , -    
 -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , 175.59 ," 124,378.98 ", 26.81 , -    , -    , -    ," 334,108.59 ", 37.14 , -    , -    , 389.22 , -    ," 8,025.11 "," 2,261.15 "," 2,088.01 ", -    , -    , -    , -    , -    , -    , -    , 0.63 , -    , -    , -    , -    , -    , 0.01 , 0.01 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," 1,171.97 ", -    , -    , -    , -    , -    ," 9,568.92 "," 129,679.77 ", -    , -    , 332.99 , -    , -    , -    , -    , -    , 341.37 ," 12,300.94 ", -    ," 5,354.03 ", 1.70 , -    , -    
" 197,916.74 "," 33,721.93 "," 8,518.44 ", 773.00 , 1.32 ," 2,950.65 ", 3.13 ," 1,238.59 "," 2,130.30 "," 3,439.79 ", 264.11 , 248.32 , 24.39 , 2.80 , 491.58 , 116.75 , 126.47 , 110.45 , 6.10 ," 4,601.38 ", 250.86 ," 1,117.01 "," 6,300.68 "," 3,732.17 ", 477.72 , 253.66 , 469.04 , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    
