"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"41",40198083.6608,42207987.8464,44318387.2384,46534306.5984,48861021.9264,51304073.024,53869276.6784,56562740.512,59390877.536,62360421.4144,65478442.4832,68752364.608,72189982.8352,75799481.9776,79589456.0768,83568928.8832
"42",30261155.9175,31774213.7154,33362924.3955,35031070.6173,36782624.151,38621755.3545,40552843.1283,42580485.2835,44709509.5497,46944985.0203,49292234.2782,51756845.9913,54344688.2856,57061922.7015,59915018.8386,62910769.7781
"43",3192714.525,3352350.2496,3519967.7634,3695966.1486,3880764.459,4074802.677,4278542.8092,4492469.9556,4717093.4514,4952948.121,5200595.532,5460625.3086,5733656.5704,6020339.3976,6321356.3688,6637424.1912
"44",4720695.9096,4956730.6998,5204567.2404,5464795.5978,5738035.38,6024937.149,6326184.0048,6642493.209,6974617.8678,7323348.7602,7689516.1992,8073992.0052,8477691.6048,8901576.189,9346654.9968,9813987.7506
"45",528472.4442,554896.0692,582640.8708,611772.9162,642361.5586,674479.6356,708203.618,743613.802,780794.489,819834.215,860825.9242,903867.2232,949060.5856,996513.6124,1046339.2924,1098656.2564
"46",14345417.31,15062688.18,15815822.5875,16606613.715,17436944.4,18308791.62,19224231.2025,20185442.76,21194714.9025,22254450.645,23367173.175,24535531.8375,25762308.4275,27050423.85,28402945.0425,29823092.295
"47",6262083.954,6575188.1517,6903947.5596,7249144.9401,7611602.1849,7992182.2932,8391791.4066,8811380.9826,9251950.0311,9714547.5273,10200274.9065,10710288.6534,11245803.0867,11808093.2382,12398497.902,13018422.7971
"48",36499977.7594,38324976.6514,40241225.4818,42253286.7562,44365951.0906,46584248.6442,48913461.0792,51359134.1344,53927090.8374,56623445.3802,59454617.652,62427348.5346,65548715.9604,68826151.7578,72267459.346,75880832.3164
"49",38733504.6332,40670179.8608,42703688.855,44838873.2992,47080816.963,49434857.8126,51906600.7012,54501930.738,57227027.272,60088378.6356,63092797.5668,66247437.4492,69559809.3176,73037799.7858,76689689.7748,80524174.2618
"50",10680156.9315,11214164.7765,11774873.016,12363616.665,12981797.5005,13630887.3735,14312431.7415,15028053.3315,15779455.9965,16568428.797,17396850.2355,18266692.7475,19180027.386,20139028.7535,21145980.1905,22203279.2025
