"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"14",91537037.6586635,96148268.609001,100948249.136332,105996170.223741,111296584.418637,116862139.466173,122706223.305096,128844110.018542,135287506.117318,142053237.382467,149157436.99324,156616261.7013,164449856.726928,172674549.329914,181310742.760553,190379038.746662
"15",8743527.77653353,9184059.45159636,9642536.99677688,10124713.4846027,10631008.2749463,11162629.5240069,11720856.3380793,12307150.5198265,12922624.2476338,13568887.7944699,14247482.2639877,14959949.3743338,15708218.3503942,16493843.9578852,17318776.827574,18184984.9255446
"16",6259905.33191772,6574067.6330386,6902518.69643827,7247661.89953141,7610065.55228413,7990593.46676656,8390156.30561014,8809751.54822418,9250279.54463684,9712839.54709619,10198533.728876,10708492.7604051,11244011.8329915,11806287.0959076,12396685.1628727,13016613.0735485
"17",15823751.5758689,16644299.8521793,17470166.9421055,18344109.6565758,19261832.4262939,20225543.9030915,21237655.3672247,22301737.7232131,23417841.4405958,24589891.5168412,25820699.3837649,27112548.1283899,28470551.3670004,29895957.6093309,31392861.519798,32964860.7059967
"18",37410521.4119153,39465609.8916696,41398987.2481632,43471667.0621442,45648502.1049354,47934823.6261304,50336809.0448772,52867476.1921604,55517241.8666866,58300383.2137132,61223657.757994,64289956.0643821,67519388.4321096,70907167.2773945,74465764.2131805,78203863.0401458
"19",19652980.9065469,20675574.925104,21700717.4074816,22786344.2292046,23926365.2049861,25123526.7741366,26380838.1255637,27702872.5508885,29089399.5743844,30545445.0112366,32074503.9775115,33679336.3127408,35366535.424887,37137418.1172159,38997154.2591464,40950217.4415663
"20",11710569.6324061,12312225.7765718,12924350.2003599,13570806.3055951,14249630.7643109,14962452.7821457,15711033.6817209,16497793.5855892,17323241.8088205,18190039.9830499,19100263.3647449,20055723.5348255,21059814.7422771,22113837.4238089,23220686.1251564,24383014.6310778
"21",18003554.1434744,18907502.1016558,19852062.0620077,20844720.9449522,21887023.4181919,22981454.1820174,24130634.0205065,25337448.1738066,26604451.1576402,27934822.4167546,29331732.1784203,30798423.2833496,32338649.5349742,33955823.2509812,35653884.8555573,37436881.6470922
"22",147910476.136035,155357836.578257,163114521.1046,171271014.047881,179835478.051118,188828346.278422,198271236.509798,208188681.736083,218599911.06453,229531951.075242,241010867.268651,253062847.347322,265720184.308677,279009510.302866,292963704.064266,307616049.009669
"23",61294263.2031408,64473293.9087358,67672242.6852806,71057546.0543715,74612437.4302784,78345472.7433549,82265994.6383909,86387858.6188608,90711210.6570034,95251279.9306351,100018957.309809,105023073.655813,110283477.754835,115804966.406081,121603414.637766,127692759.059974
"24",128963168.312175,136117779.853043,142770930.848238,149919928.780639,157428371.789727,165314704.719851,173600513.464335,182333463.832146,191474603.298757,201076196.373796,211161605.537493,221739266.187932,232883394.844133,244572767.717307,256852079.674313,269751374.475341
"25",3500235.01912431,3677147.88114765,3860594.24717275,4053652.08492576,4256368.18376418,4469226.72803289,4692742.08358505,4927521.61181262,5173963.53253616,5432736.69022552,5704458.56057036,5989734.18083399,6289374.72684825,6603965.10590224,6934299.72742362,7281167.27346826
"26",7185961.37050859,7564525.13151941,7938586.0669336,8335800.39066652,8752929.84125968,9190983.06194718,9651079.64213374,10135076.9304384,10642497.9969817,11175382.7481193,11735013.6326352,12322298.2911921,12939972.1634973,13588203.5074495,14268995.5984093,14983991.3986309
"27",2099043.20168069,2204061.81254484,2314250.53673083,2429964.04630246,2551463.41902485,2679037.99286088,2812991.781119,2953646.34866362,3101330.96720826,3256400.13657683,3419223.11512112,3590186.11300815,3769700.7952241,3958190.087754,4156104.35817757,4363914.90856846
"28",10135010.649483,10652493.5609198,11182797.8546047,11742096.5245024,12329390.4337473,12946086.5412895,13593695.8237253,14274184.6335383,14988265.5639602,15738102.1309587,16525487.2928999,17352059.1143284,18220530.5245741,19132243.7781175,20089625.7903549,21094968.3243996
"29",1179572.41150536,1243927.05219786,1304961.08743204,1370288.67570712,1438897.82624929,1510956.21417915,1586656.78171676,1666392.37129544,1749898.17494558,1837605.11670825,1929725.83975685,2026361.1354664,2128114.21380145,2234863.91440618,2346992.73007359,2464773.77654574
"30",136895767.719334,143804931.378012,150981259.77411,158531275.134744,166458973.075434,174783280.76994,183524274.02916,192705310.446723,202342805.482488,212462484.734141,223088488.462432,234244697.138882,245962141.156594,258264367.313489,271182203.305136,284746479.405429
"31",32487711.8870899,34559074.5829197,36190390.0491785,38006522.217416,39914723.3511768,41919895.9301075,44028591.3285781,46263506.6792109,48592161.969603,51039399.110679,53611362.1274591,56304318.8558482,59155703.6430716,62142089.1364413,65281255.0438755,68581186.4523378
"32",197425308.628299,207648719.805011,217955020.442192,228857981.186902,240307084.469349,252329873.121881,264956372.825937,278230572.843073,292154297.16568,306775900.885355,322130447.194909,338246729.822098,355187561.488154,372969471.987412,391643204.868694,411253623.802656
"33",988185.085398453,1038753.28310297,1090440.37898292,1144979.54340606,1202248.93904674,1262385.85324355,1325538.07684975,1391901.80428602,1461537.03167183,1534659.59262945,1611444.41122196,1692048.75349372,1776744.97134472,1865656.37608635,1959022.32526481,2057066.44354503
"34",72471968.3568118,85482168.4530683,87726855.4595968,92252065.4341876,97030045.5941472,102079714.369482,107450415.04287,113526143.335806,119527532.434786,125874122.330205,132587686.291453,139477234.033422,147210648.10098,155171792.429253,163603678.394834,172537110.688154
"35",210432.171098491,221570.586235479,232515.759453937,244150.672608501,256369.073356968,269200.548831503,282678.102494434,296858.216341007,311722.488731652,327332.940417613,343727.176871635,360930.631413071,379027.074236283,398017.894988911,417963.032948453,438910.681609891
"36",1241.96849673644,1318.40324990038,1381.22383999888,1450.49712644208,1523.27456570518,1599.74095731463,1680.13536398243,1765.21615392399,1853.97346519044,1947.23757188438,2045.24070710664,2147.90009481823,2256.45517774322,2370.19526217772,2489.73336302108,2615.3704812209
"37",8531529.42736703,8963909.22663948,9410849.98191164,9881478.33835516,10375654.5008032,10894559.7426671,11439452.6298461,12011860.021225,12612654.0051418,13243515.5957262,13905950.956124,14601409.3509697,15331949.4145799,16098918.2165776,16904280.3968552,17749960.1168688
"38",3237337.58415179,3425151.63617834,3590799.33356835,3770723.16827966,3959716.47388393,4158250.08471601,4366899.86322016,4587188.71776705,4817446.77009656,5059342.48099738,5313470.20873589,5579862.88288466,5860955.64046247,6155663.68030638,6465308.04265802,6790655.63219078
"39",6292654.47947942,6637494.95128382,6962838.66101155,7311427.49369337,7677531.08029877,8062045.36935788,8466005.97364596,8891569.31913679,9337193.95622906,9805245.06590895,10296858.4958496,10812538.6729155,11355609.9807013,11925323.3554257,12523756.310031,13152368.2119394
