Kode,Sektor,Total_Cons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
20,"Krupuk, Getas, Kritcu dan Produk Makanan Lainnya yang Sejenis",187.6471548,20.42514862,0.013605482,0,0,1.071981763,2.33093321,0,13.45243255,1.57672129,0,4.257429562,21.45868457,0,0,0.000235738,0.002167571,0,116.0970629,6.960751513,0,0,0,0,0,0,0
21,Makanan Lainnya,757.1865319,82.41876869,0.054900313,0,0,4.325619296,9.405691416,0,54.28273483,6.362324686,0,17.17941489,86.58925293,0,0,0.00095124,0.008746498,0,468.4703722,28.08775493,0,0,0,0,0,0,0
22,Minuman,7.768881212,0.84563261,0.000563288,0,0,0.044381696,0.096504225,0,0.556951426,0.06527869,0,0.176264141,0.888422591,0,0,9.76E-06,8.97E-05,0,4.806597212,0.288185833,0,0,0,0,0,0,0
23,Produk Tembakau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Tekstil dan Pakaian Jadi,33.06121618,7.600757019,0.005062972,0,0,0.336679232,0.732080367,0,6.22852036,0.388832455,0,0.159759199,12.8690283,0,0,7.40E-05,0.000680773,0,0.565296013,4.174445451,0,0,0,0,0,0,0
25,"Kulit, Barang dari Kulit dan Alas Kaki",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Kayu, Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",462.7608709,0.493955284,0.099891016,0,0,17.29434327,37.60507916,0,37.27214427,1.693399528,0,5.490496971,212.1972249,0,0,0.003803171,0.034969547,0,81.74319206,68.83237178,0,0,0,0,0,0,0
27,"Kertas, Barang dari Kertas dan Pencetakan, Reproduksi Media Rekamam",73.32158745,18.54055753,0.012563416,0,0,0.452347543,0.983591276,0,5.894109656,0.267789329,0,0.868251394,34.18621308,0,0,9.95E-05,0.000914657,0,1.025852724,11.08929737,0,0,0,0,0,0,0
28,"Bahan Kimia dan Barang dari Bahan Kimia, Farmasi, Produk obat Kimia dan Obat Tradisional",24.46387463,1.429391704,0.000952138,0,0,0.019706518,0.042850147,0,1.187549632,0.446535423,6.258474276,0.296597052,11.09130846,0,0,4.33E-06,3.98E-05,0,3.132472909,0.55799219,0,0,0,0,0,0,0
29,"Karet, Barang dari Karet dan Plastik",2157.867315,24.88054424,0.016573284,0,0,74.12676063,161.1823391,0,212.6101096,9.659596091,0,212.1860796,1101.715038,0,0,0.016301095,0.149885959,0,3.950614999,357.3734723,0,0,0,0,0,0,0
30,Barang Galian Bukan Logam Lainnya,883.6441182,480.7537271,3.136867942,0,0,3.203301308,6.965306363,0,93.29335382,29.93915372,0,19.63077754,186.1320609,0,0,0.000704433,0.006477147,0,0.205013891,60.37737404,0,0,0,0,0,0,0
31,Logam Dasar Mulia dan Logam Dasar Bukan Besi Lainnya,10580.04807,5117.627767,2.953438181,0,0,44.37220234,96.48358166,0,846.3569367,1029.416687,0,244.9625184,2414.526303,0,0,0.009757819,0.08972158,0,0.026981828,783.2221758,0,0,0,0,0,0,0
32,"Logam Dasar Besi dan Baja, Barang dari Logam, Mesin dan Peralatannya, Komputer, Barang Elektronik dan Optik, Peralatan Listrik",209.7243416,14.77213881,0.009839932,0,0,1.939699374,4.217711383,0,3.756429807,0.18133723,0,3.983317259,136.554023,0,0,0.000426556,0.003922115,0,0.010207716,44.29528841,0,0,0,0,0,0,0
