" 20,661,947 "," 2,727,390 "," 7,946,993 "," 18,824,911 "," 10,784,045 "," 11,218,498 "," 38,408,976 "," 12,140,405 "," 68,622,357 "," 15,592,994 "," 64,770,895 "," 2,327,447 "," 94,882,677 "," 66,214,886 "," 286,167,212 "," 1,989,037,671 "," 134,935,968 "," 32,477,652 "," 268,145,636 "," 332,013,620 "," 445,441,933 "," 9,403,309 "," 602,554,788 "," 612,742,963 "," 471,459,475 "," 19,468,760 ", - ," 34,368,228 "," 27,869,762 "," 89,015,602 "," 11,059,038 "," 2,452,610,866 "," 904,149,298 "," 37,993,487 "," 295,690,959 "," 225,629,454 "," 153,567,250 "," 422,604,029 "," 246,666,874 "," 137,788,238 "," 18,340,605 "," 8,322,000 "," 765,366 "," 20,740,712 "," 130,678,395 "," 23,108,456 "," 26,204,011 "," 5,542,157 "," 39,088,674 "
 - , - , - , - , - ," 9,856 "," 108,720 "," 46,946 ", - ," 1,874 "," 2,680,694 "," 42,134 ", - ," 74,388 "," 3,999,661 "," 48,790,491 "," 99,003 ", - ," 5,665,525 "," 11,713,085 "," 755,681 "," 601,545 "," 115,230 "," 1,726,666 "," 1,965,449 "," 200,444 ", - ," 1,686,745 "," 648,756 "," 183,270 "," 404,386 "," 7,021,495 "," 44,686,875 "," 53,827 "," 881,262 "," 304,716 ", - ," 722,607 "," 7,777,372 "," 2,920,520 "," 659,420 "," 1,508,699 "," 117,803 "," 538,131 "," 1,665,101 "," 24,897,675 "," 660,632 "," 146,323 "," 2,781,263 "
 - , - , - ," 137,655 "," 1,466,441 "," 171,383 "," 2,210,180 "," 829,541 "," 48,287 "," 69,273 "," 42,701,062 "," 1,327,494 "," 5,789,222 "," 239,454 "," 1,846,955 "," 6,227,035 "," 156,603 "," 34,246,711 "," 58,622 "," 53,524,299 "," 5,463,164 "," 238,336 "," 7,226,881 "," 15,958,025 "," 37,655,044 "," 3,481,439 ", - ," 2,226,961 "," 1,825,133 "," 660,950 "," 25,747 "," 67,564,541 "," 2,615,084 "," 894,232 "," 678,598 "," 26,889,001 "," 145,167 "," 40,333,359 "," 111,413,641 "," 18,123,095 "," 2,158,097 "," 4,608,971 "," 1,666,697 "," 14,597,996 "," 16,332,532 "," 102,546,980 "," 942,213 "," 2,601,776 "," 6,478,706 "
" 9,111,460 "," 453,123 "," 1,058,660 "," 8,654,843 "," 2,422,312 "," 6,003,687 "," 26,260,711 "," 6,051,247 "," 36,669,565 "," 2,808,127 "," 6,497,591 "," 2,440,380 "," 9,509,506 "," 17,804,763 "," 60,238,368 "," 451,537,345 "," 34,352,939 "," 29,996,381 "," 29,879,457 "," 63,742,507 "," 56,394,794 "," 2,419,407 "," 67,826,544 "," 82,152,479 "," 88,985,739 "," 8,164,852 ", - ," 6,345,888 "," 7,646,004 "," 17,713,450 "," 2,902,319 "," 138,733,990 "," 377,415,241 "," 7,625,084 "," 48,284,232 "," 61,922,849 "," 20,823,949 "," 63,845,581 "," 33,154,020 "," 31,349,727 "," 10,828,848 "," 25,028,056 "," 1,347,748 "," 15,580,685 "," 23,313,477 "," 118,000,001 "," 4,989,648 "," 962,414 "," 11,757,072 "
" 324,400 "," 27,186 "," 147,560 "," 129,086 "," 233,555 "," 123,496 "," 616,740 "," 120,123 "," 149,095 "," 179,206 "," 22,468,185 "," 78,162 "," 620,381 "," 1,533,847 "," 1,042,605 "," 371,052,801 "," 10,908,845 "," 111,531 "," 4,093,550 "," 1,964,973 "," 6,125,000 "," 1,756,382 "," 29,205,079 "," 4,542,227 "," 8,568,781 "," 17,964,030 ", - ," 1,334,033 "," 359,040 "," 1,121,371 "," 716,468 "," 130,342,979 "," 197,856,390 "," 1,229,460 "," 3,888,833 "," 52,847,271 "," 45,216,921 "," 5,875,269 "," 2,905,304 "," 29,150,414 "," 5,776,688 "," 6,617,672 "," 799,312 "," 630,591 "," 6,902,904 "," 89,042,887 "," 1,207,149 "," 100,908 "," 2,927,124 "
" 1,550,104 "," 167,429 "," 294,883 "," 979,380 "," 727,502 "," 775,017 "," 4,592,307 "," 955,233 "," 7,730,857 "," 1,324,979 "," 5,367,326 "," 165,219 "," 2,220,960 "," 6,007,938 "," 27,654,226 "," 573,892,379 "," 6,822,878 "," 2,061,419 "," 70,158,971 "," 26,692,732 "," 21,575,611 "," 2,976,114 "," 74,798,140 "," 45,653,872 "," 63,848,593 "," 1,898,724 ", - ," 4,944,145 "," 2,197,739 "," 5,857,519 "," 1,911,260 "," 168,230,784 "," 128,274,698 "," 3,266,866 "," 13,504,581 "," 12,497,203 "," 9,661,041 "," 56,263,157 "," 8,456,258 "," 23,042,707 "," 8,810,470 "," 4,451,331 "," 974,901 "," 2,193,158 "," 10,366,498 "," 23,906,303 "," 1,881,273 "," 1,234,922 "," 4,537,464 "
" 250,427 "," 45,000 "," 206,445 "," 205,405 "," 220,290 "," 226,689 "," 1,809,583 "," 1,804,132 "," 5,727,367 "," 481,252 "," 5,435,270 "," 60,462 "," 2,959,852 "," 2,285,641 "," 22,330,767 "," 568,961,571 "," 39,762,721 "," 9,618,290 "," 56,658,903 "," 190,410,207 "," 16,922,975 "," 4,374,567 "," 3,846,673 "," 27,067,311 "," 165,376,634 "," 1,333,712 ", - ," 3,565,468 "," 740,757 "," 1,930,683 "," 2,962,160 "," 54,578,691 "," 171,642,945 "," 895,774 "," 11,748,169 "," 4,783,869 "," 4,658,969 "," 12,407,876 "," 5,166,382 "," 13,423,001 "," 3,118,485 "," 25,131,131 "," 456,761 "," 5,054,185 "," 19,275,724 "," 82,728,830 "," 1,663,241 "," 2,754,853 "," 2,435,169 "
" 987,309 "," 92,150 "," 351,755 "," 671,768 "," 549,791 "," 387,167 "," 5,020,973 "," 502,021 "," 1,751,544 "," 862,436 "," 5,906,573 "," 228,038 "," 3,279,185 "," 2,893,054 "," 10,639,430 "," 98,393,687 "," 5,473,349 "," 1,937,680 "," 2,831,121 "," 22,321,259 "," 9,507,695 "," 3,878,103 "," 64,086,816 "," 46,090,076 "," 116,417,204 "," 26,809,069 ", - ," 5,703,608 "," 1,069,399 "," 3,759,206 "," 5,037,714 "," 84,300,448 "," 605,576,712 "," 3,606,686 "," 8,468,119 "," 239,294,516 "," 85,503,250 "," 250,164,121 "," 307,766,443 "," 631,022,225 "," 26,294,244 "," 8,346,839 "," 1,642,219 "," 4,121,235 "," 23,141,856 "," 108,843,843 "," 1,522,138 "," 1,642,097 "," 7,449,630 "
 - , - ," 28,684 "," 396,018 ", - ," 1,753,247 "," 4,906,763 "," 258,986 "," 19,801 "," 15,727 "," 1,447,572 "," 258,050 "," 499,750 "," 19,724 "," 151,801 "," 234,558,661 "," 9,114,354 "," 816,494 "," 12,722,083 "," 41,123,542 "," 2,035,831 "," 1,450,181 "," 8,664,415 "," 24,266,076 "," 26,035,490 "," 2,477,730 ", - ," 1,938,931 "," 1,820,995 "," 1,843,190 "," 5,456,714 "," 41,241,941 "," 287,389,550 "," 6,240,527 "," 1,161,469 "," 19,700,623 "," 31,675,561 "," 9,816,365 "," 5,845,158 "," 87,846,072 "," 83,505,860 "," 47,582,747 "," 5,830,723 "," 17,657,456 "," 41,521,824 "," 18,978,657 "," 2,893,114 "," 1,108,720 "," 23,275,104 "
" 4,683,375 "," 155,040 "," 25,863 "," 298,388 "," 2,680,889 "," 2,926,014 "," 49,032,775 "," 1,887,270 "," 121,801 "," 3,106,897 "," 37,724,298 "," 1,464,625 "," 17,793,803 "," 5,733,431 "," 231,948,144 "," 311,132,474 "," 60,201,035 "," 10,783,778 "," 105,264,196 "," 141,402,260 "," 49,499,391 "," 3,391,086 "," 73,518,978 "," 77,085,524 "," 71,799,120 "," 3,235,610 ", - ," 1,502,159 "," 10,943,686 "," 6,736,699 "," 1,762,275 "," 63,663,170 "," 366,563,921 "," 469,216 "," 2,619,726 "," 81,544,464 "," 19,916,183 "," 6,763,016 "," 8,526,758 "," 32,141,047 "," 7,761,312 "," 206,442,784 "," 17,879,466 "," 74,584,786 "," 59,016,952 "," 105,687,968 "," 468,166 "," 1,537,803 "," 2,486,680 "
