" 130,602 ", 432 , 806 , 421 ," 7,051 "," 15,623 "," 36,677 ", - ," 1,427,504 "," 2,278 "," 4,758 "," 47,232 "," 1,228 ", 96 ," 28,998 "," 1,054 ", - ," 35,574 "," 10,416 "," 21,037 "," 392,819 "," 50,559 "," 1,841 "," 24,922 "," 72,244 "," 3,922 "," 13,309 ", - , - ," 143,137 ", 58 , - , 935 , 354 ," 2,292 ", 737 , 353 , 5 , 132 ," 102,782 "," 5,826 "," 135,780 "," 4,416 "," 5,856 "," 1,610 ", 286 ," 1,809 "," 1,823 "," 23,298 ", 650 , 666 , 746 , 198 , 140 ," 63,694 "," 51,327 "," 46,255 "," 2,518 "
" 1,230 ", 49 , - , 29 , - , 134 ," 203,917 ", - ," 49,718 ", - ," 1,562 ", - ," 4,627 ", 14 , - , - , - ," 24,477 "," 7,167 ", 318 , 31 , 4 , - , - ," 12,894 ", - , - , - ," 39,837 "," 220,205 "," 1,291 ", - , - , - , - , 5 , - , - , - ," 315,248 ", 769 ," 17,917 "," 41,616 ", 841 ," 1,053 ", 255 , 964 , 420 ," 7,300 ", 264 , 425 , 756 , 160 , 1 ," 19,553 "," 1,025 "," 13,186 ", 140 
 - , - , - , 35 , - , - , - , - ," 2,673 ", - , 175 , - , 214 , 185 , - , - , - , - , - , - ," 87,457 "," 11,257 ", 8 ," 55,831 ", 133 , - , - , - , - , - ," 54,259 ", - ," 2,145 ", 812 ," 5,259 ", 107 , 7 , 7 , 203 ," 1,714,280 ", 46 ," 1,083 ", 82 , 51 , 88 , 20 , 56 ," 1,442 "," 14,880 ", 563 , 46 , 153 , 60 , - ," 43,798 "," 57,034 "," 2,127 "," 2,334 "
 - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 30,945 "," 11,722 "," 75,869 ", - , 793 , - , - ," 545,249 "," 5,784 "," 134,805 ", - , 712 , - , 26 , 627 , - , - ," 12,137 ", - , - , - , - ," 3,358 ", - , - , - 
" 1,786 ", - , 5 , 50 , 138 , 108 ," 2,127 ", - ," 61,352 ", 11 , 385 , 876 ," 12,823 ", 149 ," 10,863 ", 113 , - ," 232,494 "," 68,073 "," 8,536 "," 18,641 "," 2,399 ", 8 ," 8,767 "," 7,021 "," 1,688 "," 8,709 ", - , - , 586 ," 1,069 ", - ," 1,009 ", 382 ," 2,474 ", 49 , 691 , 1 , 27 ," 304,484 ", 211 ," 4,913 "," 45,663 "," 24,478 "," 25,382 "," 25,141 "," 118,347 ", 737 , 651 ," 3,235 ", 422 , 662 , 385 , 177 ," 69,247 "," 9,319 "," 5,004 "," 4,365 "
 637 , - , 2 , 18 , 49 , 39 , 759 , - ," 21,878 ", 4 , 137 , 312 ," 4,573 ", 53 ," 3,874 ", 40 , - ," 82,906 "," 24,274 "," 3,044 "," 6,647 ", 856 , 3 ," 3,126 "," 2,504 ", 602 ," 3,106 ", - , - , 209 , 381 , - , 360 , 136 , 882 , 17 , 247 , 0 , 10 ," 108,578 ", 75 ," 1,752 "," 16,283 "," 8,729 "," 9,051 "," 8,965 "," 42,202 ", 263 , 232 ," 1,154 ", 151 , 236 , 137 , 63 ," 24,693 "," 3,323 "," 1,784 "," 1,557 "
" 2,868 ", - , 9 , 80 , 221 , 174 ," 3,416 ", - ," 98,537 ", 17 , 618 ," 1,407 "," 20,595 ", 240 ," 17,447 ", 182 , - ," 373,409 "," 109,332 "," 13,710 "," 29,939 "," 3,853 ", 12 ," 14,081 "," 11,277 "," 2,711 "," 13,987 ", - , - , 942 ," 1,717 ", - ," 1,620 ", 614 ," 3,973 ", 79 ," 1,110 ", 2 , 44 ," 489,033 ", 339 ," 7,890 "," 73,340 "," 39,315 "," 40,767 "," 40,380 "," 190,077 "," 1,184 "," 1,046 "," 5,196 ", 678 ," 1,064 ", 618 , 284 ," 111,218 "," 14,967 "," 8,037 "," 7,011 "
 - , 209 , - , - , 71 , 134 ," 1,445 ", - ," 15,610 ", 1 , 66 , - ," 2,335 ", 195 , - , 264 , - ," 1,305 ", 382 , 296 , 890 , 114 , 1 , 136 , 289 , 19 , - , - , - , 557 , 74 , - , 4 , 1 , 9 ," 12,435 ", 241 , - , - , - , 809 ," 18,852 ", 777 ," 2,984 ", 330 , 485 ," 139,502 "," 1,916 ", 895 , 353 ," 1,106 "," 2,026 ", 505 , 112 ," 19,849 "," 49,181 "," 5,201 "," 2,105 "
 - , - , - , - , - , - , - , - ," 19,459 ", - ," 2,237 "," 1,967 "," 1,851 ", 201 , - , - , - , - , - , 491 ," 72,606 "," 9,345 ", 139 ," 70,419 "," 2,268 "," 13,248 "," 2,357 ", - , - ," 1,244 "," 1,311 ", - , 743 , 281 ," 1,821 ", 46 ," 6,556 ", 454 ," 13,285 "," 4,477 "," 4,405 "," 102,668 "," 7,367 "," 2,973 "," 1,159 ", 191 ," 9,176 "," 9,899 "," 20,223 "," 16,293 "," 14,679 "," 5,444 "," 14,194 ", 440 ," 63,785 "," 76,444 "," 42,875 "," 22,196 "
 - , - ,,,,,,,,,,,,,,, - ,,,,,,,,,,, - ,,,, - ,,,,,,,,,,,,,,,,,,,,,,,,,,
 - , - , - , - , - , - , - , - ," 1,283 ", - , 724 , 191 , 53 , 67 , 217 , - , - , - , - , - ," 8,414 "," 1,083 ", 9 , - , 69 , - , 66 , - ," 1,065 ", 515 , 181 , - , - , - , - , 41 , 92 , 7 , 193 ," 2,425 ", 37 , 856 , 531 ," 11,894 ", 386 , 112 , 279 ," 1,937 "," 2,629 "," 2,638 "," 1,386 ", 162 ," 8,196 ", 73 ," 3,563 "," 7,360 "," 1,669 "," 3,038 "
 812 , 13 , 40 , 30 , - , - , - , - ," 161,986 ", - ," 2,876 ", - ," 12,847 "," 1,821 ", - , 558 , - , - , - ," 21,125 "," 4,428 ", 570 , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 1,595 ", 52 ," 1,525 "," 149,230 "," 2,480 "," 57,795 ", 149 , - , - ," 1,576 "," 62,944 "," 1,422 "," 4,111 "," 57,348 "," 32,404 "," 5,561 "," 90,154 ", 219 ," 192,468 "," 219,326 "," 20,229 "," 10,492 "
 882 , 126 , 15 , 13 , 46 , 887 ," 1,833 ", 318 ," 3,549 ", 24 ," 1,933 ", 965 ," 2,301 ", 27 , 910 , 50 , - ," 32,928 "," 9,641 "," 1,472 "," 116,273 "," 14,965 ", 71 ," 7,417 "," 2,279 "," 1,965 ", 743 , - , 575 ," 8,396 "," 1,594 ", - , 33 , 12 , 80 , 39 , 29 , 3 , 75 ," 45,923 ", 559 ," 13,028 "," 1,233 "," 1,514 "," 1,196 ", 266 , 437 , 153 ," 2,207 "," 2,107 ", 679 ," 3,382 ", 711 , 49 ," 9,806 "," 2,700 ", 636 , 775 
" 21,016 "," 4,995 ", 355 , 301 ," 1,095 "," 21,143 "," 43,676 "," 7,571 "," 84,586 ", 566 ," 46,057 "," 23,004 "," 54,835 ", 644 ," 21,686 "," 1,185 ", - ," 784,771 "," 229,776 "," 35,070 "," 2,771,113 "," 356,667 "," 1,696 "," 176,758 "," 54,321 "," 46,828 "," 17,713 ", - ," 13,710 "," 200,101 "," 37,994 ", - , 777 , 294 ," 1,906 ", 929 , 691 , 61 ," 1,799 "," 1,094,485 "," 13,322 "," 310,483 "," 29,377 "," 36,074 "," 28,506 "," 6,343 "," 10,415 "," 3,649 "," 52,589 "," 50,215 "," 16,187 "," 80,600 "," 16,938 "," 1,160 "," 233,708 "," 64,358 "," 15,150 "," 18,467 "
" 14,591 "," 1,947 ", 43 , 51 , 319 , 343 ," 8,371 ", - ," 107,669 ", 20 , 54 ," 3,074 "," 2,626 ", 831 ," 17,057 ", 798 , - ," 24,363 "," 7,133 "," 2,982 "," 39,899 "," 5,135 ", 73 ," 27,496 "," 12,938 "," 3,674 "," 1,832 ", - , 364 ," 26,399 "," 12,391 ", - , 95 , 36 , 233 , 638 , 926 , 58 ," 1,688 "," 305,362 "," 7,184 "," 167,436 "," 33,887 "," 15,825 "," 5,827 "," 8,263 "," 7,737 "," 4,540 "," 42,625 "," 11,720 "," 5,316 "," 2,357 "," 2,459 ", 177 ," 116,615 "," 25,804 "," 15,962 "," 1,469 "
 25 , 9 , 2 , 0 , - , - , - , - ," 64,367 ", - , 724 , 191 ," 16,204 ", - ," 7,228 ", 36 , - , - , - , - ," 5,314 ", 684 , - , - ," 7,222 ", - , - , - , - , 369 , 256 , - , - , - , - , 30 , 13 , 209 ," 6,103 "," 96,440 ", 475 ," 11,070 ", - ," 47,371 "," 1,143 ", 587 ," 5,348 ", 275 ," 1,454 "," 2,092 ", 318 , 225 , 60 , 21 ," 78,842 "," 5,266 ", 272 , 6 
" 25,053 "," 1,096 ", 154 , 158 , 691 ," 8,587 "," 27,691 "," 21,063 "," 170,577 ", 337 ," 7,251 "," 17,030 "," 116,440 "," 1,448 "," 29,524 "," 4,954 ", - ," 608,599 "," 178,194 "," 14,373 "," 733,050 "," 94,350 "," 1,021 "," 214,713 "," 58,150 "," 11,569 "," 19,160 ", - ," 11,708 "," 65,426 "," 11,380 ", - ," 5,323 "," 2,016 "," 13,050 "," 2,315 "," 2,268 ", 2 , 71 ," 1,010,828 "," 23,080 "," 537,896 "," 14,658 "," 37,613 "," 42,788 "," 7,148 "," 41,584 "," 3,523 "," 62,714 "," 58,825 "," 70,670 "," 75,947 "," 4,018 "," 1,418 "," 597,691 "," 27,269 "," 44,564 "," 23,587 "
 148 , 8 , 1 , 2 , - , - , - , - ," 16,787 ", - , - ," 1,134 ", 587 , - , - , - , - ," 16,866 "," 4,938 ", - , - , - , - , - , 896 , - , 382 , - , - , 772 ," 1,266 ", - , - , - , - , 95 , 638 , 0 , 10 ," 4,850 ", 59 ," 1,378 ", - ," 1,401 ", - ," 54,537 "," 4,853 "," 1,200 ", - ," 9,720 "," 11,131 "," 5,856 "," 1,465 ", - ," 38,178 ", 771 ," 1,768 ", - 
 - , 4 , 0 , 20 , - , - , - , - ," 2,887 ", - , 151 , 546 ," 2,206 ", 35 , - , - , - ," 2,811 ", 823 , 40 , - , - , - , - , 933 , - , - , - , 91 ," 7,934 "," 1,241 ", - , - , - , - , 43 , - , 6 , 163 ," 43,277 "," 6,324 "," 147,397 "," 111,000 "," 342,384 "," 183,755 "," 82,093 "," 6,796 ", 263 ," 1,762 "," 3,339 "," 5,204 ", 33 , 160 , 93 ," 38,178 "," 2,647 "," 4,824 ", 34 
 - , - , 2 , - , - , - , - , - ," 6,309 ", - , 127 , - ," 1,594 ", 124 , - , - , - , - , - , - , - , - , - , - , 577 , - , 110 , - , - ," 2,294 "," 1,509 ", - , - , - , - , 18 , 85 , - , - ," 15,136 "," 2,565 "," 59,783 ", - ," 2,576 ", 358 ," 11,482 "," 2,144 ", - , - ," 5,984 "," 23,328 "," 1,941 ", - , 111 ," 36,593 "," 3,778 "," 3,376 "," 23,129 "
