ID,Sektor,Total_Cons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
50,Angkutan kereta api,5049.513175,0,0,0,0,880.1972875,1913.914171,0,2222.112465,0,0,0,0,0,0,0.193562754,1.779778496,0,0,31.31590995,0,0,0,0,0,0,0
51,Angkutan jalan raya,19716.29532,0,0,0,0,3436.812434,7473.056455,0,8676.445448,0,0,0,0,0,0,0.755783834,6.949311197,0,0,122.2758923,0,0,0,0,0,0,0
52,Angkutan air,4466.616329,0,0,0,0,778.5906168,1692.979104,0,1965.600144,0,0,0,0,0,0,0.171218596,1.574327548,0,0,27.70091886,0,0,0,0,0,0,0
53,Angkutan udara dan jasa penunjnag angkutan,5259.90657,0,0,0,0,916.8716538,1993.659463,0,2314.69917,0,0,0,0,0,0,0.201627754,1.853934881,0,0,32.62072101,0,0,0,0,0,0,0
54,Komunikasi,78.70169541,0,0,0,0,13.71875197,29.83025985,0,34.63383743,0,0,0,0,0,0,0.003016868,0.027739622,0,0,0.488089667,0,0,0,0,0,0,0
55,Bank dan Lembaga keuangan lainnya,11.50756142,0,0,0,0,2.005920967,4.361704608,0,5.064071484,0,0,0,0,0,0,0.000441119,0.004056017,0,0,0.071367228,0,0,0,0,0,0,0
56,Usaha bangunan dan jasa perusahaan,297.6426646,0,0,0,0,51.88307405,112.8153337,0,130.9820278,0,0,0,0,0,0,0.011409522,0.10490873,0,0,1.845910795,0,0,0,0,0,0,0
57,Pemerintahan Umum dan Jasa,297.4045637,0,0,0,0,51.8415699,112.7250864,0,130.877248,0,0,0,0,0,0,0.011400395,0.104824808,0,0,1.844434149,0,0,0,0,0,0,0
58,Jasa Sosial Kemasyarakatan,30.78295114,0,0,0,0,5.365877691,11.66764486,0,13.54648994,0,0,0,0,0,0,0.001180001,0.010849924,0,0,0.190908726,0,0,0,0,0,0,0
59,Jasa Lainnya,197.742833,0,0,0,0,34.4692051,74.95035607,0,87.01963911,0,0,0,0,0,0,0.007580067,0.0696975,0,0,1.226355203,0,0,0,0,0,0,0
60,Kegiatan yang tak jelas batasannya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
