 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 53,412 ", -   , -   , -   ," 58,451 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 377,945 ", 91 , -   , -   , 224 , -   , -   , -   , -   , -   , -   , -   ," 1,758 "," 1,499 ", -   , 676 , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 883 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 14,921 ", -   , 152 , -   , -   , -   , 705 ," 29,184 ", -   , -   , -   ," 2,668 ", -   ," 205,982 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 194 , 190 , 17 , 143 , 57 ," 2,250 "," 5,318 ", 65 , 376 , 207 ," 1,260 ", 345 , 51 , 86 ," 9,448 "," 4,276 "," 27,261 ", 331 ," 4,854 ", -   ," 6,937 ", 477 ," 1,402 "," 1,555 ", 470 ," 6,218 ", -   , 261 , -   ," 95,492 ", 987 ," 33,744 "," 41,028 "," 2,657 ", 23 ," 145,371 "," 29,875 "," 74,983 "," 2,058 "," 1,488 ", 822 , 429 ," 1,121 ", -   , 284 , 73 , 161 , 25 ," 39,839 ", -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,716 "," 3,541 "," 5,027 ", -   , -   ," 36,567 ", -   , -   , -   ," 144,631 ", -   , 107 , -   , 137 , -   , -   , -   , -   , -   , -   , -   , 45 ," 242,270 "," 1,294 ", 196 , 299 , 897 , -   , -   , -   , -   , -   , -   , -   ," 8,532 "," 14,930 ", 622 ," 1,173 ", -   
 14 , -   , 5 , 6 , -   , -   , -   , -   , -   , -   , -   , 12 , 15 , -   , 28 , -   , 18 , -   , 62 , -   , 182 , 249 , 499 , 32 , 22 , 23 , -   , 98 , 67 , 43 , -   ," 3,779 "," 49,586 ", 162 , 59 ," 1,541 ", 78 , 186 , 160 , 156 , 25 , -   , 285 , -   , 142 , 298 , 65 , -   ," 25,909 ", -   
 -   , -   , -   , -   , -   , -   , -   , -   , 35 , 10 , 113 , 35 , -   , 71 , -   , -   , 45 , -   , 102 , -   , 226 , 251 ," 384,335 ", 53 , 24 , 107 , -   , 51 , 19 , -   , -   ," 142,048 "," 16,344 ", 88 , 132 , 60 , 6 , -   , 43 , 14 , 72 , -   , 7 , -   , 103 , 95 , -   , 44 ," 3,012 ", -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 96 , -   , -   , 84 , 53 , -   , 543 , 58 , 52 ," 11,717 ", 217 , 285 , -   , 37 , -   , 213 , 208 ," 4,020 "," 79,717 ", 193 , 113 , 62 , 70 , 114 , 55 ," 1,051 "," 3,448 ", 341 ," 1,871 ", -   , 884 , 108 , 46 , -   ," 2,556 ", -   
" 2,835 "," 1,834 ", 250 , 612 ," 1,732 "," 10,684 "," 27,905 "," 1,039 "," 28,128 "," 11,347 "," 1,961 ", 726 , 99 , 57 , 231 , 243 , 311 , 146 ," 1,233 ", -   ," 1,395 "," 1,258 "," 4,093 "," 3,440 "," 2,166 "," 3,539 ", -   , 200 , 108 , 272 ," 2,373 "," 36,881 "," 6,019 ", 231 , 40 ," 8,568 "," 1,353 ", 746 , 685 , 129 , 72 , 37 ," 1,286 ", -   , 903 ," 10,411 ", 420 , 144 ," 17,100 ", -   
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 140 , -   , 243 , -   , 98 , 523 , -   , 393 , 63 , 79 , 26 ," 156,412 ", 147 , 61 , 87 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 8 , 11 , -   , -   , 80 , -   
