ID,Sektor,Total_Cons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
14,Pinang,1.420092588,0,0,0,0,0.24754102,0.538256904,0,0.624932609,0,0,0,0,0,0,5.44363E-05,0.000500533,0,0,0.008807085,0,0,0,0,0,0,0
15,Kakao,2.399905156,0,0,0,0,0.418335379,0.909634717,0,1.056113526,0,0,0,0,0,0,9.19955E-05,0.000845883,0,0,0.014883655,0,0,0,0,0,0,0
16,Tebu,4.862586905,0,0,0,0,0.847613553,1.843063611,0,2.139852813,0,0,0,0,0,0,0.000186397,0.001713893,0,0,0.030156637,0,0,0,0,0,0,0
17,Tanaman perkebunan lainnya,17.67644246,0,0,0,0,3.081238956,6.699892157,0,7.778778223,0,0,0,0,0,0,0.00067759,0.006230334,0,0,0.109625198,0,0,0,0,0,0,0
18,Ternak dan hasil-hasilnya,49.45738867,0,0,0,0,8.621080458,18.74580653,0,21.76445056,0,0,0,0,0,0,0.001895848,0.017432016,0,0,0.306723258,0,0,0,0,0,0,0
19,Unggas dan hasil-hasilnya,19.34518379,0,0,0,0,3.372122759,7.332394258,0,8.513132366,0,0,0,0,0,0,0.000741558,0.006818507,0,0,0.119974345,0,0,0,0,0,0,0
20,Jasa pertanian,18.05991236,0,0,0,0,3.14808286,6.845238543,0,7.94752979,0,0,0,0,0,0,0.00069229,0.006365494,0,0,0.112003389,0,0,0,0,0,0,0
21,Kehutanan dan hasil-hasilnya,29.59565267,0,0,0,0,5.158915781,11.21762378,0,13.02400181,0,0,0,0,0,0,0.001134489,0.010431442,0,0,0.183545376,0,0,0,0,0,0,0
22,Perikanan Laut,60.28908975,0,0,0,0,10.50918998,22.85134017,0,26.53109977,0,0,0,0,0,0,0.002311059,0.021249816,0,0,0.373898956,0,0,0,0,0,0,0
23,Perikanan Darat,19.7444339,0,0,0,0,3.441717362,7.483721804,0,8.688828243,0,0,0,0,0,0,0.000756862,0.006959229,0,0,0.122450401,0,0,0,0,0,0,0
