ID,Sektor,Total_Cons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
49,Industri barang lainnya,216.3896272,6.154451759,0.004099568,0,0,3.476522339,7.559402267,0,7.12553336,0.323737071,0,7.111322186,123.1906758,0,0,0.000764516,0.007029606,0,21.47559259,39.96049618,0,0,0,0,0,0,0
50,Listrik,613.4739,132.0353163,0,0,0,0.060597846,0.131764864,0,67.45460349,31.97670604,0,1.069005467,162.6471543,0,0,1.33E-05,0.00012253,0,4.83E-08,8.300368373,0,0,11.33109253,197.2854063,0,0,0
51,Air Minum,668.5038285,143.8791681,0,0,0,0.066033603,0.143584456,0,73.50542652,34.84508536,0,1.164897557,177.2369539,0,0,1.45E-05,0.000133521,0,5.26E-08,9.044929271,0,0,12.34751591,214.9823316,0,0,0
52,Bangunan,4206.423119,0,0,0,0,109.8924166,238.9517174,0,315.3624831,115.122217,0,2923.909428,84.49758628,0,0,0.024166263,0.222204911,0,391.0316376,27.40926172,0,0,0,0,0,0,0
53,Perdagangan,316.4586176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Hotel,30.53730006,0,0,0,0,4.032812608,8.769008166,0,3.489831828,0.807786618,0,2.145738228,0.34906244,0,0,0.000886849,0.008154437,0,1.065497636,9.868521247,0,0,0,0,0,0,0
55,Restoran,38.77451989,0,0,0,0,5.12063517,11.13438584,0,4.431189181,1.025681322,0,2.724535877,0.443219554,0,0,0.001126071,0.010354038,0,1.352908057,12.53048477,0,0,0,0,0,0,0
56,Angkutan jalan raya,13323.15451,0,0,0,0,13275.41396,0,0,0,0,0,0,20.89737417,0,0,0,26.84318235,0,0,0,0,0,0,0,0,0,0
57,Angkutan laut,5213.919047,0,0,0,0,0,0,0,4435.043428,776.9579919,0,1.917626943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Angkutan sungai dan danau,1618.18058,0,0,0,0,0,0,0,1376.450436,241.1349932,0,0.595150529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Angkutan udara,6191.045224,0,0,0,0,0,0,6191.045224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
