,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 0 , - , - , - , - , - , - , 0 , - ," 2,179 ", - , - , - , - , - , - , - , - , - , - , - , - , 0 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , - , - , - , - , - , - , - , - , - , - ," 14,346 ", - , - , - , - , - , - , - , - , 88 ," 2,534 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 128,330 ", - , - , 152 , 1 , 299 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 3,138 ", 79 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , - , - , - , - , - , - , - , 303 , - , - , - ," 7,188 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 28 , - ," 122,487 ", - , - , 432 , 31 , 8 , - , - , - , 159 , 3 , - , - , - , - , - , - , - , - , 2 , - , - , - , - , - , - , 8 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 216 , - , - , - , - , - , - , - , 188 , - ," 2,948 ", 7 , - , 78 , - , - , - , - , - , - , - , - ," 2,203 ", - , 21 , 10 , 11 , - , - 
 - , - , - , - , - , - , - , - , - , - , - , - , - ," 1,089 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 427,023 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 54 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 206,475 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 11,028 ", - , - , - ," 327,439 ", - , - ," 39,113 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 91,325 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 138,921 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 14,191 ", - , - , - , - ," 33,229 ", - , - , 538 , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 14,392 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 3,062 ", - , - , - , - , - , - , - , - , - ," 41,397 ", 875 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 322 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 466 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 0 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 5 , - , - , - , - , - , - , - , - , - , - , - , - , - , 0 , - , - , - , - 
 - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 14,189 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 599 , - , - , - , - , - , 36 , - , - ," 99,837 ", - ," 1,848 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 262 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 23,920 ", - , - , - , - , - , - , - , - , - , - , - , - , - ," 1,231 ", - , - , - , - 
 - , - , - , - , - , - , - , - , - , - , - , - , - , 0 , - , - ," 4,669 ", - ," 5,733 ", - , 4 , 27 , - , - , - , - , - , - , - , - , - , 18 , - , - , - , - , - , 220 , - , 0 , 1 , - , - , - , 17 , 7 ," 1,228 ", 36 ," 226,239 ", 1 , 16 , 2 ," 2,576 ", 10 , 344 , - ," 1,669 "," 16,375 ", 6 , - ," 2,499 ", - , - , - , 1 ," 2,043 ", - , 2 , 97 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 212 , - , - , - , - , - , - , - , - , - , 369 , 10 , - , 16 , - , - , - , - , - , - , - , - ," 1,454 ", 23 , 10 , 2 , - , - , - 
 - , - , - , - , 0 , - , - , - , - , - , - , - , 0 , - , - , - , - , - , - , 0 , - , 0 , 0 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 0 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 0 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 0 , - , 0 , - , - , - , - , - , - , - , - , - , 0 , 0 , 0 , - , 0 , 0 , - 
 - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 179,836 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 608,401 "," 12,993 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
" 6,924 "," 7,797 "," 3,045 "," 2,037 ", 199 , 35 , 423 ," 1,209 "," 2,821 ", 396 , 0 , 0 , 13 , 112 , 1 , 1 ," 2,145 ", 19 , 106 , 63 , 7 , 49 , - , - , - , - , - , - , - , - , - ," 2,294 ", - , - , - , - , - , - , 1 , - , - , - , - , - , - , 11 , - , - , - , - , 211 , - , 63 , - , - , - , - , - , - , - , 92 , 4 , - , - , - , - , - , - , 0 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , 258 , 32 , - , 10 , - , - , - , - , - , - , - , - ," 1,894 ", - , 100 , 3 , 27 , - , - 
 - , 1 , 1 , 0 , 0 , 0 , - , 5 , 10 , - , - , - , - , - , - , 0 , - , - , 1 , - , 0 , 0 , 138 , - , 0 , - , - , 2 , 0 , - , 1 , - , - , - , - , - , - , 0 , 0 , - , - , - , - , - , - , 2 , 5 , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 0 , 0 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , - , - , - , - , - , - , - , 28 , 1 , - , 4 , - , - , - , - , - , - , - , - , 58 , - , 4 , 0 , - , - , - 
 - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 1,817 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
