"","","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem","projFinDem"
"34",2267343280.99,2380710445.0395,2499745967.29147,2624733265.65605,2755969928.93885,2893768425.38579,3038456846.65508,3190379688.98784,3349898673.43723,3517393607.10909,3693263287.46455,3877926451.83777,4071822774.42966,4275413913.15115,4489184608.8087,4713643839.24914,4949326031.2116,5196792332.77218,5456631949.41079,5729463546.88133,6015936724.22539,6316733560.43666,6632570238.4585,6964198750.38142,7312408687.90049
"35",1490349877.14,1564867370.997,1643110739.54685,1725266276.52419,1811529590.3504,1902106069.86792,1997211373.36132,2097071942.02939,2201925539.13085,2312021816.0874,2427622906.89177,2549004052.23636,2676454254.84817,2810276967.59058,2950790815.97011,3098330356.76862,3253246874.60705,3415909218.3374,3586704679.25427,3766039913.21698,3954341908.87783,4152059004.32173,4359661954.53781,4577645052.2647,4806527304.87794
"36",18828544952.03,19769972199.6315,20758470809.6131,21796394350.0937,22886214067.5984,24030524770.9783,25232051009.5273,26493653560.0036,27818336238.0038,29209253049.904,30669715702.3992,32203201487.5192,33813361561.8951,35504029639.9899,37279231121.9894,39143192678.0889,41100352311.9933,43155369927.593,45313138423.9726,47578795345.1712,49957735112.4298,52455621868.0513,55078402961.4538,57832323109.5265,60723939265.0029
"37",3558736146.57,3736672953.8985,3923506601.59343,4119681931.6731,4325666028.25675,4541949329.66959,4769046796.15307,5007499135.96072,5257874092.75876,5520767797.3967,5796806187.26653,6086646496.62986,6390978821.46135,6710527762.53442,7046054150.66114,7398356858.1942,7768274701.10391,8156688436.15911,8564522857.96706,8992749000.86541,9442386450.90869,9914505773.45412,10410231062.1268,10930742615.2332,11477279745.9948
"38",735523485.89,772299660.1845,810914643.193725,851460375.353411,894033394.121082,938735063.827136,985671817.018493,1034955407.86942,1086703178.26289,1141038337.17603,1198090254.03483,1257994766.73658,1320894505.07341,1386939230.32708,1456286191.84343,1529100501.4356,1605555526.50738,1685833302.83275,1770124967.97439,1858631216.37311,1951562777.19176,2049140916.05135,2151597961.85392,2259177859.94661,2372136752.94395
"39",24397586.87,25617466.2135,26898339.524175,28243256.5003838,29655419.3254029,31138190.2916731,32695099.8062567,34329854.7965696,36046347.5363981,37848664.913218,39741098.1588789,41728153.0668228,43814560.720164,46005288.7561722,48305553.1939808,50720830.8536798,53256872.3963638,55919716.016182,58715701.8169911,61651486.9078407,64734061.2532327,67970764.3158943,71369302.5316891,74937767.6582735,78684656.0411872
"40",107242191.58,112604301.159,118234516.21695,124146242.027798,130353554.129187,136871231.835647,143714793.427429,150900533.098801,158445559.753741,166367837.741428,174686229.628499,183420541.109924,192591568.16542,202221146.573691,212332203.902376,222948814.097495,234096254.802369,245801067.542488,258091120.919612,270995676.965593,284545460.813873,298772733.854566,313711370.547294,329396939.074659,345866786.028392
"41",23826616.11,25017946.9155,26268844.261275,27582286.4743388,28961400.7980557,30409470.8379585,31929944.3798564,33526441.5988492,35202763.6787917,36962901.8627313,38811046.9558678,40751599.3036612,42789179.2688443,44928638.2322865,47175070.1439008,49533823.6510959,52010514.8336507,54611040.5753332,57341592.6040999,60208672.2343049,63219105.8460201,66380061.1383211,69699064.1952372,73184017.404999,76843218.275249
"42",575153213.28,603910873.944,634106417.6412,665811738.52326,699102325.449423,734057441.721894,770760313.807989,809298329.498389,849763245.973308,892251408.271973,936863978.685572,983707177.619851,1032892536.50084,1084537163.32589,1138764021.49218,1195702222.56679,1255487333.69513,1318261700.37988,1384174785.39888,1453383524.66882,1526052700.90226,1602355335.94738,1682473102.74475,1766596757.88198,1854926595.77608
"43",7452422186.16,7825043295.468,8216295460.2414,8627110233.25347,9058465744.91615,9511389032.16195,9986958483.77005,10486306407.9586,11010621728.3565,11561152814.7743,12139210455.513,12746170978.2887,13383479527.2031,14052653503.5633,14755286178.7414,15493050487.6785,16267703012.0624,17081088162.6656,17935142570.7988,18831899699.3388,19773494684.3057,20762169418.521,21800277889.4471,22890291783.9194,24034806373.1154
"44",3321866120.14,3487959426.147,3662357397.45435,3845475267.32707,4037749030.69342,4239636482.22809,4451618306.3395,4674199221.65647,4907909182.7393,5153304641.87626,5410969873.97007,5681518367.66858,5965594286.05201,6263874000.35461,6577067700.37234,6905921085.39096,7251217139.6605,7613777996.64353,7994466896.47571,8394190241.29949,8813899753.36447,9254594741.03269,9717324478.08433,10203190701.9885,10713350237.088
"45",664165821.02,697374112.071,732242817.67455,768854958.558278,807297706.486192,847662591.810501,890045721.401026,934548007.471078,981275407.844631,1030339178.23686,1081856137.14871,1135948944.00614,1192746391.20645,1252383710.76677,1315002896.30511,1380753041.12037,1449790693.17638,1522280227.8352,1598394239.22696,1678313951.18831,1762229648.74773,1850341131.18511,1942858187.74437,2040001097.13159,2142001151.98817
"46",1325868375.23,1392161793.9915,1461769883.69108,1534858377.87563,1611601296.76941,1692181361.60788,1776790429.68828,1865629951.17269,1958911448.73132,2056857021.16789,2159699872.22628,2267684865.8376,2381069109.12948,2500122564.58595,2625128692.81525,2756385127.45601,2894204383.82881,3038914603.02026,3190860333.17127,3350403349.82983,3517923517.32132,3693819693.18739,3878510677.84676,4072436211.7391,4276058022.32605
"47",15272414599.12,16036035329.076,16837837095.5298,17679728950.3063,18563715397.8216,19491901167.7127,20466496226.0983,21489821037.4032,22564312089.2734,23692527693.7371,24877154078.4239,26121011782.3451,27427062371.4624,28798415490.0355,30238336264.5373,31750253077.7641,33337765731.6524,35004654018.235,36754886719.1467,38592631055.1041,40522262607.8593,42548375738.2522,44675794525.1648,46909584251.4231,49255063463.9943
