ID,Sektor,Total_Cons,HCOAL,BCOAL,COKE,CRUDE,DIESEL,GASOLINE,JETFUEL,LFO,HFO,NAPHTA,OTHPETRO,NATGAS,OTHGAS,WASTE,BIOGASOL,BIODIESEL,BIOGAS,OTHRENEW,ELECTR,HEATPROD,NUCLEAR,HYDRO,GEOTHERM,SOLAR,WIND,OTHSOURC
59,kayu gergajian dan awetan,20137.91863,0,0,0,0,3510.306981,7632.8641,0,8861.986977,0,0,0,0,0,0,0.7719459,7.097918806,0,0,124.8907022,0,0,0,0,0,0,0
60,kayu lapis dan sejenisnya,760919.4429,0,0,0,0,132638.3765,288410.8734,0,334853.781,0,0,0,0,0,0,29.16828969,268.197748,0,0,4719.045961,0,0,0,0,0,0,0
61,bahan bangunan dari kayu,1464729.815,0,0,0,0,255321.8825,555175.7272,0,644575.8761,0,0,0,0,0,0,56.14742001,516.2665263,0,0,9083.914703,0,0,0,0,0,0,0
62,"barang - barang lainnya terbuat dari kayu, gabus bambu dan rotan",2799.0188,0,0,0,0,487.9061941,1060.91054,0,1231.749349,0,0,0,0,0,0,0.107294658,0.986557179,0,0,17.35886563,0,0,0,0,0,0,0
63,"perabot rumah tangga terbuat dari kayu, bambu dan rotan",180263.638,0,0,0,0,31422.34899,68325.22649,0,79327.66251,0,0,0,0,0,0,6.91003767,63.53668867,0,0,1117.953288,0,0,0,0,0,0,0
64,bubur kertas,13813909.29,0,0,0,0,2407948.066,5235878.358,0,6079013.75,0,0,0,0,0,0,529.5279437,4868.924558,0,0,85670.66258,0,0,0,0,0,0,0
65,kertas dan karton,1646327.065,0,0,0,0,286976.6979,624006.4321,0,724490.4143,0,0,0,0,0,0,63.10857898,580.2732672,0,0,10210.13875,0,0,0,0,0,0,0
66,barang - barang dari kertas dan karton,239395.6161,0,0,0,0,41729.83903,90737.98728,0,105349.5583,0,0,0,0,0,0,9.176741044,84.37866283,0,0,1484.676106,0,0,0,0,0,0,0
67,barang - barang hasil kilang minyak,23224312.17,0,0,0,0,4048306.415,8802698.132,0,10220199.81,0,0,0,0,0,0,890.2564809,8185.76563,0,0,144031.7994,0,0,0,0,0,0,0
68,kimia dasar kecuali pupuk,323717.2255,0,0,0,0,56428.21673,122698.36,0,142456.5215,0,0,0,0,0,0,12.40903738,114.0991095,0,0,2007.619177,0,0,0,0,0,0,0
69,pupuk ,600949.3787,0,0,0,0,104753.4673,227777.5089,0,264456.6038,0,0,0,0,0,0,23.03616465,211.8138412,0,0,3726.948713,0,0,0,0,0,0,0
70,"cat, vernis dan lak",965.5328724,0,0,0,0,168.3052179,365.9653878,0,424.896927,0,0,0,0,0,0,0.037011727,0.340316895,0,0,5.98801101,0,0,0,0,0,0,0
71,obat - obatan,1414.032969,0,0,0,0,246.4847482,535.9601299,0,622.2659841,0,0,0,0,0,0,0.05420406,0.498397644,0,0,8.769504619,0,0,0,0,0,0,0
72,sabun dan bahan pembersih,236.0123222,0,0,0,0,41.14008591,89.45561927,0,103.8606901,0,0,0,0,0,0,0.009047049,0.083186169,0,0,1.463693702,0,0,0,0,0,0,0
73,barang - barang kimia lainnya,507.5517745,0,0,0,0,88.47302299,192.3770669,0,223.3556158,0,0,0,0,0,0,0.019455959,0.178894421,0,0,3.147718427,0,0,0,0,0,0,0
74,Karet remah dan karet asap,17424833.36,0,0,0,0,3037380.145,6604524.9,0,7668053.942,0,0,0,0,0,0,667.9453285,6141.650222,0,0,108064.7764,0,0,0,0,0,0,0
75,barang - barang plastk,278872.737,0,0,0,0,48611.2261,105700.9784,0,122722.0454,0,0,0,0,0,0,10.69001568,98.29298057,0,0,1729.504056,0,0,0,0,0,0,0
76,keramik dan barang - barang dari tanah liat,219184.6815,0,0,0,0,38206.80439,83077.44797,0,96455.43957,0,0,0,0,0,0,8.401996225,77.25500842,0,0,1359.332575,0,0,0,0,0,0,0
77,bahan bangunan keramik dan dari tanah liat,19136.26006,0,0,0,0,3335.704574,7253.206011,0,8421.192407,0,0,0,0,0,0,0.733549369,6.744868856,0,0,118.678648,0,0,0,0,0,0,0
78,barang - arang lainnya dari bahan bukan logam,87971.72405,0,0,0,0,15334.64122,33343.87366,0,38713.24973,0,0,0,0,0,0,3.372216015,31.00698568,0,0,545.5802358,0,0,0,0,0,0,0
79,besi dan baja dasar,922.0802144,0,0,0,0,160.7308419,349.495551,0,405.7749464,0,0,0,0,0,0,0.035346058,0.325001338,0,0,5.7185277,0,0,0,0,0,0,0
80,barang - barang dari logam dasar bukan besi,166118.6782,0,0,0,0,28956.69441,62963.87022,0,73102.9651,0,0,0,0,0,0,6.367819581,58.55108026,0,0,1030.229526,0,0,0,0,0,0,0
81,"alat - alat dapur, pertukangan dan pertanian darilogam",3536.55988,0,0,0,0,616.4694111,1340.460325,0,1556.315138,0,0,0,0,0,0,0.135566786,1.246514863,0,0,21.9329244,0,0,0,0,0,0,0
82,perabot rumah tangga dan kantor dari logam,6707.278469,0,0,0,0,1169.167821,2542.256029,0,2951.63644,0,0,0,0,0,0,0.257109794,2.364083343,0,0,41.59698594,0,0,0,0,0,0,0
83,barang - barang logam lainnya,1619.297513,0,0,0,0,282.2650876,613.761436,0,712.5956628,0,0,0,0,0,0,0.062072456,0.570746286,0,0,10.04250773,0,0,0,0,0,0,0
84,mesin penggerak mulia,13853.44361,0,0,0,0,2414.839424,5250.863029,0,6096.411408,0,0,0,0,0,0,0.531043411,4.882859036,0,0,85.91584526,0,0,0,0,0,0,0
85,mesin dan perlengkapannya,5950.795602,0,0,0,0,1037.302799,2255.526749,0,2618.73504,0,0,0,0,0,0,0.228111572,2.097449334,0,0,36.9054546,0,0,0,0,0,0,0
