-,-,-,-,"8,44",-,-,-,-,-,-,-,-,-,-,-,"4.105,10","4.927,95",-,"422,67",-,-,-,-,-,-,-,-,-,-,-,"9,36",-,"3.562,57",-,-,"32,12",-,"87,57",-,"417,23",-,-,-,-,-,"4.745,04",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7.244,21",-,-,-,-
-,-,-,-,"9,68",-,-,-,-,-,-,-,-,-,-,-,"4.709,49","5.653,49","3.649,23","484,90",-,-,-,-,-,-,-,-,-,-,-,"10,74",-,"4.087,09",-,-,"36,85",-,"100,46",-,"478,66",-,-,-,-,-,"5.443,65",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8.310,77",-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"155.405,20","20.649,95",-,-,-,-,-,-,-,-,-,-,-,"189,11",-,"110.727,81",-,-,"116,38",-,-,-,-,-,-,-,-,-,"145.694,28","870,64","732,76",-,-,-,-,-,-,-,-,-,-,-,-,"47.768,94",-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2.233,44",-,-,-,-,-,-,-,-,-,-,-,"20,45",-,"11.976,02",-,-,"12,59",-,-,-,-,-,-,-,-,-,"15.757,90","94,17","79,25",-,-,-,-,-,-,-,-,-,-,-,-,"5.166,56",-,-,-,-
-,-,-,-,-,-,-,-,-,-,"2.166,87","929,94","3.764,45",-,-,-,-,-,-,-,"35.346,79",-,-,"11,25",-,-,-,-,-,-,-,"0,79",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"14.925,65",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"20,73","326,70","201,49",-,-,-,-,-,-,-,"3,74",-,-,-,-,-,-,-,-,"108,11",-,-,-,-,-,"1.698,92","22,64","19,05",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13.310,13","8.208,94",-,-,-,-,-,-,-,"152,27",-,-,-,-,-,-,-,-,"4.404,39",-,-,-,-,-,"69.216,31","922,29","776,23",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5.022,31",-,-,-,-,-,-,-,"93,16",-,-,-,-,-,-,-,-,"2.694,65",-,-,-,-,-,"42.347,23","564,27","474,90",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,"0,81","0,25","0,54","0,05","94,93","339,79","7,88","1,57","14,45","43,42","18,63","75,43","0,68",-,"0,20","0,42","0,50",-,-,"5,15",-,-,"0,53","3,54","0,00","4,23","1,45","5,09","48,99","151,10","0,20","3,02",-,"10.004,12",-,"0,18",-,"78,32","20,29","95,88",-,-,"5.585,04",-,-,"12,23","0,10","0,08",-,-,-,-,-,"1,32",-,-,-,-,"0,08","0,01",-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"19.942,32",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"18.350,66",-,-,-,-,"3.618,81",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"213.916,00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,17",-,-,-,"379,74","11.589,48",-,-,"0,17",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"65,90",-,-,-,"7.896,10","240.987,99",-,-,"3,53",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"72.216,64",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"221,63","266,06",-,"15,78",-,-,-,-,-,-,-,"3,56","108,80",-,-,"0,89",-,-,"55,05","13,06","0,02",-,"10.194,81","2.663,80","659,79",-,-,"828.796,64",-,-,"133,70",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"135,28","939,18","167,16","476,57","36,35","2.418,15","14.071,11","644,80","68,40","1.182,59","2.076,93","891,34","3.608,20","23,77","697,39","70,20","8.978,33","10.777,99","4.183,43","555,89","1.944,98","294,15","12.904,51","7.958,77","739,29","50,48","6.560,81","4.919,77","150.150,81","431.185,59","824,57","1.315,33","250,86","183,86","13.826,68","492,29","95,45",-,"1.495,68","10,19","16.849,26","1.131,82","3,34","79.722,99","14.694,22","26.137,03","155.872,12","13,76","9,51","143,88","7.352,88","7,38","8.519,98","7.970,84","24,75","1.931,23","495,02","49,69","77,48","6.210,52","936,72","36.769,34","449,77","270,94","257,50",-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8.051,25",-,-,-,-,-,-,-,-,-,-,-,-,"7.615,63",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,"732,61","314,41","1.272,74",-,-,-,-,-,-,"0,02",-,-,-,-,"4,03",-,"26,90",-,-,"5.294,36",-,"0,07",-,"42.941,47","9.099,13","25,48","0,15",-,-,-,"11.193,76","184,93",-,"22,94",-,-,"8,77","11,98","10,08",-,-,-,"399,79","447,14",-,"977,35","27,73","0,48","5,17",-,-,"106.752,47","819,50","161,93","555,29",-
-,-,"43,44",-,"6,31",-,"444,56",-,"11,10",-,"334,28","143,46","580,75",-,-,"0,43","237,50","285,11",-,"0,25","1,24",-,-,"132,60",-,-,"19,41",-,-,-,"9.289,43","2,40","13,22","6,73","24.607,57","26,59",-,-,"177,27","53,36","117.837,46",-,-,"226.009,94","1.436,61","2.555,34","51,44","0,24","0,20",-,-,-,"29,64",-,"0,98","333,30",-,-,-,"15,60","2,35","78.993,90",-,-,-,-
-,-,-,-,-,-,"228,24",-,"85,47",-,"1,87","0,80","3,25",-,-,"0,23",-,-,-,"6,29",-,-,-,"0,35","47,78","0,00","9,96","0,14","4,39","3.510,21","29,25","0,47","4,32","29,52","104,11","9.231,00","1,09",-,"4,56","2,77","238,20","2.617,72","0,69","497,86","672,03","1.195,37","300,54","9,91","8,34",-,-,-,"967,35","2.047,02","51,78","783,33","25.186,28","431,70","4.698,56","392,67","59,22","92.945,05","2.922,48","577,47","1.980,25",-
